AMP_ID,A. baumannii ATCC 19606,E. coli ATCC 11775,E. coli AIC221,E. coli AIC222,K. pneumoniae ATCC 13883,P. aeruginosa PA01,P. aeruginosa PA14,S. aureus ATCC 12600,S. aureus (ATCC BAA-1556) - MRSA,vancomycin-resistant E. faecalis ATCC 700802,vancomycin-resistant E. faecium ATCC 700221
DHLFLHGA_671_3,31.338099,267.45496,131.19954,141.59346,229.95361,210.86809,159.37462,258.70242,341.07697,375.0064,88.663635
CCGMBFFG_425_1,45.63237,183.83148,133.24797,98.75244,191.34833,123.93295,94.98007,193.9543,291.6532,324.48428,89.2767
ENFPJDJP_481_3,63.070198,127.23332,107.3765,201.38669,166.12709,157.85384,156.38417,183.43033,156.44315,329.572,89.84513
LPLOOJEN_13_90,28.646801,126.45854,138.60362,94.96715,225.13713,176.323,150.43706,163.0118,203.67378,354.37146,91.236725
NLCMHHHC_308_9,148.9046,263.67557,204.2091,198.55438,281.65717,228.9047,224.08751,246.71799,377.3356,307.33054,92.521065
MNIOLPGK_2_21,52.667824,181.19063,100.03049,171.6153,240.88257,175.36267,172.50046,248.1302,302.4186,323.87994,93.32331
NKNCIDFI_685_6,114.489746,250.581,185.3194,200.50789,369.2931,302.8669,264.52383,388.56223,369.57855,429.4323,94.15965
DGIHFKDF_507_5,117.56506,452.75394,299.73154,489.1524,423.14685,379.6565,462.36075,444.5639,502.69122,447.51062,94.44216
KOPDDENJ_8_102,151.40517,353.44315,246.59575,442.82562,468.70782,492.01102,449.80606,360.98264,445.67792,368.90613,94.74268
NNENBOCK_130_46,81.9815,204.61966,95.4579,142.2769,277.0801,175.73842,180.80255,283.41678,368.72095,339.9255,96.16829
DFLBIPPG_42_16,130.6028,332.56366,166.80463,283.09473,369.17682,311.62762,328.91205,301.32028,382.31082,306.05246,97.31026
KKPGHLON_127_1,85.52272,289.04938,185.7571,280.03357,420.81583,324.57285,303.7409,402.13882,454.06934,492.48447,98.190475
HGFDKNKO_69_9,89.91348,311.22473,244.81883,187.25383,340.76492,328.24942,292.45883,378.6914,392.05322,369.9761,99.03226
NGIDNPEH_9_18,17.947962,128.40965,79.46967,165.62863,212.20691,171.5809,189.40512,224.1853,321.20288,341.48,100.28476
LHGKDENN_132_5,68.87574,145.70343,139.71236,160.46089,235.96909,175.16707,212.61996,251.83907,378.72058,370.6857,100.5439
KCLEFMIG_18_18,21.613983,119.51232,73.870514,140.63905,201.80864,158.94568,159.87251,213.28006,321.68298,342.24277,102.48144
CBENGHKH_64_1,135.37071,283.25116,230.79738,359.50293,402.75122,366.1966,363.34088,291.4485,334.43,432.31543,103.14371
NMEKPIAN_575_1,102.73109,230.3576,129.5502,185.89253,261.52414,187.00696,163.33708,228.95012,327.83658,352.48178,103.49617
LAJLOBNE_91_2,134.23688,319.06122,172.43515,201.38727,386.217,237.25471,229.24161,386.71487,424.00125,473.42728,106.82782
ICCICIKL_53_118,70.654854,218.1847,131.90329,166.69754,307.5291,210.53224,195.46962,302.40454,320.95084,441.39825,107.05147
GEAAAAEN_350_15,50.84823,114.07849,72.84601,163.00555,304.61804,216.70558,252.8553,298.9746,343.68277,388.24228,108.45685
EIKHOBMN_30_1,99.043335,164.0317,151.65443,158.72514,188.84341,190.0478,172.7684,243.05849,342.05927,378.26758,109.03274
LPCKDOMF_170_1,99.043335,164.0317,151.65443,158.72514,188.84341,190.0478,172.7684,243.05849,342.05927,378.26758,109.03274
LLGBHINH_237_1,88.59201,134.11974,107.087654,142.21838,141.83406,157.86015,147.08255,192.86824,295.99756,288.6418,109.17843
ENICKNPH_57_55,88.3377,328.31235,227.71783,359.62744,375.38855,308.08124,336.2909,318.26547,416.14352,447.3649,111.841576
NDPGLPLK_32_16,62.115795,183.65161,146.80614,164.7707,245.07867,189.6195,165.4986,219.61151,320.662,342.5312,112.860214
ICBCKKKK_138_15,102.2171,192.95082,163.32555,154.3923,240.19653,176.60805,197.15787,272.82648,351.1731,402.1592,113.38942
BHJOCGJN_3_1,51.53178,148.66031,113.643486,119.66319,277.45233,175.87828,167.52257,283.2081,347.14917,399.7729,113.68845
PIANMFAJ_178_2,115.972435,300.16092,220.14825,223.03943,359.96222,273.9932,232.35858,342.83334,396.29227,372.26382,114.75434
CNCNCCNP_152_18,128.52927,259.25348,177.5681,190.05777,384.12436,323.88055,340.66995,410.9357,466.39084,420.4215,115.02211
LEKKIAAH_150_1,56.952454,241.92918,172.92558,195.93158,289.87827,211.41667,182.9274,266.9598,346.22748,420.4205,118.289566
JEHDAJPF_61_25,83.16342,214.23604,99.4895,146.56096,261.97293,198.6611,157.41928,284.8689,356.02042,346.07196,120.04968
NGMOPKMC_86_2,83.309,132.51315,130.12106,110.90935,168.05716,121.376175,152.13292,190.65166,247.63129,311.09613,122.35416
EMEEGMFL_700_3,87.36994,422.62244,329.24564,407.71695,455.66345,427.3164,423.8002,452.36435,476.7666,484.56326,122.75058
IADMOHIP_375_1,44.614933,267.8408,127.3924,188.0827,330.42676,278.47098,296.1898,302.26624,391.944,452.3271,123.30043
CGGEEMNC_293_3,50.93548,210.35144,108.2829,157.3776,279.2693,182.72887,158.27596,286.29913,381.45322,356.3903,124.2592
DBLJEKIA_374_3,50.93548,210.35144,108.2829,157.3776,279.2693,182.72887,158.27596,286.29913,381.45322,356.3903,124.2592
EDPJEEBL_152_13,97.42448,265.2285,188.15378,159.9865,286.51123,298.01965,224.66898,323.088,377.58408,455.85815,124.998375
DLFDEKGP_61_58,87.24108,251.93211,133.56305,270.7127,318.20892,282.45255,281.76065,294.74997,355.03253,351.24933,125.28283
FFMOECEE_231_4,102.55646,373.61725,208.0625,265.02533,418.0235,377.72287,343.7442,380.4005,484.6816,372.9311,125.29393
DONGBMFP_677_6,16.11532,28.18999,37.07239,164.64688,226.59433,204.14833,229.0815,291.0215,435.51248,420.23288,126.751526
IKDFCCNA_38_4,48.253754,272.25278,172.00722,226.20985,358.6549,341.5217,331.84122,314.4064,384.19543,486.15958,127.56512
EENHFHNC_7_21,150.6545,214.56775,180.44225,176.22844,259.41156,315.49512,297.6668,342.1748,374.54324,423.30515,127.81318
DOCLLKKD_33_18,125.112755,352.649,111.523094,274.67538,430.1026,331.7465,354.6358,425.48334,447.21533,511.54755,129.55405
CDMHADHB_13_2,126.7278,197.49248,135.42424,246.0884,250.01756,218.38855,175.08171,194.55693,301.60757,384.48834,129.79396
LKACKFMG_10_7,149.05199,297.3803,280.1996,272.28824,270.91428,305.61407,285.30286,304.63376,398.67413,367.6408,130.3569
GGJMJOFG_34_8,149.05199,297.3803,280.1996,272.28824,270.91428,305.61407,285.30286,304.63376,398.67413,367.6408,130.3569
OHCLFNHJ_60_7,84.63106,319.4019,229.4775,299.22208,363.92523,466.10342,392.28397,415.53165,403.29764,482.46402,134.14272
GJBGJFNG_58_2,81.49266,242.5594,252.28381,220.41426,279.58737,307.543,275.71005,319.69458,380.87787,432.21597,134.73485
NDAJAKLO_206_6,71.9173,238.9397,126.02487,177.79501,324.18146,248.09564,243.75633,336.76743,403.21094,417.51062,134.90565
ICNECMED_121_17,126.96237,242.16225,149.63892,254.59842,264.68677,231.90674,252.50323,283.44183,384.7654,351.05737,135.06653
ADFKEOCB_70_1,77.17118,384.02914,268.0538,284.66605,433.51382,398.76834,367.93524,349.96515,393.98727,318.9947,136.12956
GNNCBGGM_17_107,156.78218,243.25192,208.584,160.54228,414.05313,277.51242,345.03778,314.26526,332.11127,414.92337,136.16493
GGCFKADC_112_11,81.81846,216.63945,109.32924,149.32071,275.47763,194.36484,150.6727,280.82086,374.28766,320.72052,137.02742
FIJJPHGJ_266_2,118.077805,329.67688,209.25577,242.41483,349.37427,297.83426,261.3745,357.57825,403.42978,424.05197,137.09596
OBCMDBHP_52_26,87.73158,308.66406,228.29552,240.8377,284.06424,253.94974,297.60413,367.7907,473.45242,365.6375,137.84975
LAMFONBH_15_14,55.27764,183.55698,77.8904,84.6582,273.74576,188.60751,133.77464,256.8014,369.1566,410.39993,137.88104
MKBBINBF_7_12,55.27764,183.55698,77.8904,84.6582,273.74576,188.60751,133.77464,256.8014,369.1566,410.39993,137.88104
LKBPNCKB_104_21,124.149765,290.2611,286.89914,283.08096,283.52905,312.52655,298.03647,325.0315,393.1513,397.66357,138.66257
ABBBLBMD_87_38,124.149765,290.2611,286.89914,283.08096,283.52905,312.52655,298.03647,325.0315,393.1513,397.66357,138.66257
KFCJGCLI_144_6,183.52345,443.96854,305.04236,340.4585,416.12878,384.36536,416.64856,380.41772,426.44983,341.79984,138.81839
BIPNPGMJ_333_4,146.83293,195.49849,189.28986,234.65091,267.90695,215.37486,217.0577,218.18307,307.3514,314.8904,139.8478
CCEEDJDB_69_21,102.73259,195.99786,112.88558,165.16537,255.10153,152.53687,166.56754,244.46587,334.61774,325.4013,142.10278
BHJKMAJD_15_20,102.73259,195.99786,112.88558,165.16537,255.10153,152.53687,166.56754,244.46587,334.61774,325.4013,142.10278
CCGMBFFG_428_1,74.55442,260.7749,90.044914,134.88528,379.4201,322.36703,307.439,451.41528,479.37637,439.29068,143.4754
MFMOEDNK_357_3,74.55442,260.7749,90.044914,134.88528,379.4201,322.36703,307.439,451.41528,479.37637,439.29068,143.4754
IOIKDEDN_5_14,154.81938,241.97287,157.51147,162.56572,254.01833,225.0874,226.47754,282.22574,391.41324,372.4276,143.93015
DAIGHAGO_189_9,184.44376,465.94556,355.49146,417.81674,431.4074,429.67123,434.34036,416.08887,482.63348,427.10513,145.03983
MEBADGCM_64_7,150.90907,264.42297,201.1902,264.42987,337.8828,263.18625,288.37872,371.736,443.5501,479.4862,145.27069
EHKJGOEI_558_6,131.2707,275.9549,334.4315,246.91988,330.806,263.1216,271.16104,343.7029,354.7026,418.67557,146.02275
CIBCBEEE_16_2,177.35243,389.30756,213.10501,307.839,426.57318,409.55554,442.3605,462.4228,477.86322,471.5877,146.15306
CBKCKAFE_6_26,93.38214,253.09738,223.80301,257.9078,309.115,301.58627,291.86862,346.9925,442.09296,423.05255,146.2082
IAKFMJEM_272_2,192.1116,270.38065,177.26959,244.8948,246.4269,286.76556,276.56863,318.80743,432.50885,456.98248,146.50627
MBKHLEHK_2_181,37.293682,104.163414,25.115162,64.34367,281.09003,165.68637,156.61475,286.29614,308.98505,296.22305,146.50749
IBOODKDA_8_7,138.12508,163.17838,145.15657,190.73865,241.21,229.0857,230.1404,278.7022,311.6605,371.41324,147.00475
IHGNANKF_72_3,66.22312,223.01364,184.99786,199.8393,212.76865,256.61636,257.89853,348.26913,371.92184,472.9754,147.07857
DBCOEKGD_3_191,174.95801,186.09552,151.68925,239.77234,311.38907,224.95692,280.08084,390.9885,460.008,490.6395,148.14308
OHIALCHJ_181_41,150.07626,244.5631,198.92854,206.17438,383.70782,253.49515,243.13304,281.93262,346.77084,504.39508,148.45439
GKKEEBDC_22_58,108.80839,209.69818,116.251274,201.9744,220.1337,191.11163,189.26814,292.02722,354.33984,400.31705,148.50389
PGEEBHBE_8_25,129.75098,365.12585,339.62018,369.72736,366.3404,383.2369,331.44568,387.10876,435.34814,386.02942,149.29866
HOCLGGFK_69_8,168.8417,299.18768,211.14839,280.76633,355.38385,325.4988,314.53174,375.6486,461.0903,429.64172,149.30711
EBIPKGNL_1003_4,87.827446,229.54218,133.86142,207.76053,303.87564,229.58875,249.21968,316.0459,379.45984,415.63,149.66537
CHIBKKCF_287_2,82.823845,186.17952,133.48349,170.32498,276.66525,214.77353,241.0356,258.92172,311.63522,387.31418,150.428
LKKEPBNP_155_29,53.8303,237.9018,93.61281,99.52502,204.1206,135.78079,152.16524,271.73657,391.71533,439.15228,153.06061
GNCENCHD_382_8,151.60475,226.71391,196.15253,236.8465,256.45358,247.14275,212.38649,296.61374,374.50558,382.27484,154.57533
NBONLNAG_30_1,173.21068,310.19366,286.35004,273.71255,365.31476,332.1349,320.2202,366.9666,432.1391,463.2843,154.70584
GCDCONLL_2_1,84.2489,313.25455,162.92453,144.28574,349.6425,266.59277,331.4626,365.06128,447.66302,519.5519,155.32637
FNFNEMEO_143_1,118.84076,245.68217,207.94968,240.45901,356.73712,260.76447,265.9773,307.35995,387.65253,444.2885,155.33371
GHHMGHBK_13_63,116.8964,351.027,177.49667,301.3651,428.62213,346.35693,376.94894,394.45044,469.8042,354.88867,155.61502
FJOFIFII_377_1,99.5412,253.2091,199.91057,266.30478,323.65317,278.93762,270.49417,333.44778,426.50394,366.7978,157.30763
GJNODNJA_9_36,131.42645,167.66246,182.51935,170.97131,247.11716,218.19954,194.10287,254.01408,296.65475,361.08194,159.15155
FCLKNIGA_72_1,109.7698,330.8189,168.07677,220.1607,303.9023,242.46852,270.18604,342.40613,413.96817,418.0556,159.7873
ELMMPHKD_177_1,103.322495,202.43724,118.27771,177.63809,410.41464,386.53662,337.68573,441.61792,510.1636,473.83197,161.6424
FOFKHIPA_463_1,202.17838,280.89508,259.69394,321.65607,332.14938,305.83508,316.79236,336.79517,389.16235,436.33652,162.42624
GBOJGMIE_112_2,265.23352,395.02335,284.99115,388.89203,472.3255,405.20514,415.79413,448.20483,495.84274,391.49155,162.48495
LDFDGFAA_589_1,76.9825,207.66489,119.50799,226.84558,241.37317,196.27374,181.48788,269.09845,350.52667,337.41483,163.7444
OEDHKPFD_80_14,126.26863,177.24442,158.52325,187.75063,212.02371,190.75029,170.21402,229.84155,334.9337,358.79172,165.98112
PINHJFLC_638_1,105.77462,335.85153,253.27429,287.56888,379.48828,366.25095,425.20428,390.4457,411.55643,492.50595,166.31999
DCMKIBAL_42_1,131.04097,293.9511,193.65085,292.4601,339.8482,307.375,299.85773,395.02847,427.21252,475.11722,166.85896
MHOBFLEE_291_7,93.86868,218.85037,196.49756,183.56285,256.77298,247.39757,192.6075,247.951,316.72708,308.7744,168.06647
ECACJCPL_208_8,83.86689,344.88577,241.46994,305.29117,392.33447,315.3385,360.68814,377.46817,461.77002,467.9965,168.51944
MJIPPEME_67_24,162.47615,384.45468,226.46056,340.6128,516.94183,458.42648,472.0135,528.06555,531.06854,396.2414,168.54596
PEMCANAD_149_7,240.57458,369.94147,263.90128,320.35153,416.72162,447.51636,403.08893,448.0115,437.44107,412.66254,168.55542
DPBJAADB_32_2,216.11636,331.91138,253.84409,295.12115,355.99023,348.9416,350.3159,388.55914,449.29938,485.6174,169.20116
LGAOIKBH_41_8,115.204056,212.89574,200.43832,215.07338,305.86548,261.96164,270.60092,326.66846,484.72028,481.3275,169.71475
AMEDOMHJ_240_4,172.27628,279.41287,199.3309,200.51736,327.26788,281.40463,309.73074,276.71442,397.37103,406.2275,169.91151
DECBAKBH_301_8,248.74504,327.48685,260.86136,314.7695,377.98068,336.6415,358.09714,373.49387,424.2511,405.70416,169.92891
CAFPPPBF_6_3,98.921776,187.94211,186.93849,149.29958,224.55453,171.26399,156.1017,235.37416,345.42624,368.5023,170.71802
KIPJBGOE_80_4,151.91948,193.59622,167.35545,169.51906,193.45915,172.35086,154.6805,201.19923,317.0661,324.7553,172.16656
OEEGLEHL_47_2,132.09363,266.39178,202.89299,223.72217,298.1775,244.19475,236.1551,316.05643,402.12152,409.85434,172.34106
POOKNHCI_177_35,144.74011,352.1612,252.52689,249.15295,461.15765,297.4989,371.52777,439.95963,495.9624,500.32156,172.43542
FNBCNFFH_50_34,144.74011,352.1612,252.52689,249.15295,461.15765,297.4989,371.52777,439.95963,495.9624,500.32156,172.43542
ICBCKKKK_56_48,136.82965,242.4061,173.06506,186.92471,257.89398,189.88815,172.56903,279.91147,344.91766,419.93756,174.38806
PDFOFEJH_146_5,63.26846,362.4263,249.66489,292.60266,386.09503,420.0904,399.77383,439.0959,417.28714,396.58902,174.38832
OEEGLEHL_38_28,46.305153,282.86996,117.41591,163.88092,278.24097,188.99002,212.06213,348.5333,461.35257,469.84027,174.9104
MJCJCPAN_11_1,87.2528,349.95364,293.66782,321.4708,376.2336,336.4573,369.16916,319.94147,418.8441,432.176,174.96535
AALBNAMJ_5_92,157.34029,222.69122,165.6775,152.5217,241.68109,197.53973,299.62793,332.1815,348.46472,337.2677,176.2932
FMFMJIIM_115_3,124.87816,291.87152,203.40935,240.52486,281.04492,282.4066,249.76308,331.86798,432.13797,424.95132,176.80408
ODHOBCAK_18_1,94.30011,303.70193,157.51894,314.75745,366.3709,372.53458,379.15244,388.3343,423.7611,465.22348,177.39093
LEKKIAAH_349_2,146.5613,275.47064,205.35616,240.09125,372.3584,319.89417,327.34695,376.52628,461.4791,462.26178,178.27235
DHLFLHGA_40_1,265.9394,321.3351,225.3172,296.375,325.4802,349.90643,373.4582,399.10248,464.4334,415.9364,179.03613
KIEHLOCK_199_9,175.19107,374.54163,287.38516,292.54022,421.75415,335.18896,313.68484,400.15848,436.01685,452.16687,179.52777
KJBKIOAM_83_4,76.91363,220.57367,194.60258,167.8927,273.47626,236.45734,236.00899,279.505,371.75854,455.97305,179.70251
OOLOLMOA_35_13,76.91363,220.57367,194.60258,167.8927,273.47626,236.45734,236.00899,279.505,371.75854,455.97305,179.70251
LKBPNCKB_34_27,149.41173,328.45798,265.8154,319.3632,348.75708,332.94437,367.31757,361.77426,401.13235,398.17273,179.9416
ABBBLBMD_107_1,149.41173,328.45798,265.8154,319.3632,348.75708,332.94437,367.31757,361.77426,401.13235,398.17273,179.9416
LKACKFMG_21_13,149.41173,328.45798,265.8154,319.3632,348.75708,332.94437,367.31757,361.77426,401.13235,398.17273,179.9416
GGJMJOFG_44_16,149.41173,328.45798,265.8154,319.3632,348.75708,332.94437,367.31757,361.77426,401.13235,398.17273,179.9416
ICOMKHEL_29_4,142.66185,262.69214,276.37225,279.8636,314.8931,288.67752,208.63919,276.75253,367.19296,282.4842,180.45506
ABBBLBMD_122_18,100.56368,269.22842,196.15067,236.42897,272.9466,248.95734,285.01944,299.9944,394.75528,392.85757,180.84982
DLFDEKGP_58_1,136.73062,262.69025,218.68622,217.91302,327.19864,209.7223,232.20688,308.77124,382.60663,449.28427,181.98186
ENCDCCNJ_59_7,239.5221,415.34863,238.43735,298.84814,444.68912,378.7884,401.4793,425.02335,483.04572,398.44238,182.55284
LDCPKHLH_26_3,27.34547,101.422005,71.682976,144.75536,228.25388,193.99908,174.03467,245.93225,357.51385,341.17026,182.8549
BMLCGDAE_88_3,96.69663,256.171,174.32884,257.51074,287.59042,235.01242,232.7249,293.55716,370.9732,415.0421,183.60902
EHILNAML_112_8,84.28941,251.2864,244.40955,245.91605,238.45087,313.33032,256.78302,299.10864,382.60352,399.56378,184.39183
OHMOLDFD_180_5,112.18647,330.38513,284.57095,356.71817,355.86743,384.08377,402.01758,434.01337,465.33997,471.05505,184.55386
IDKIGBJD_248_9,159.02237,458.029,332.6698,373.9864,472.72427,400.27734,423.1472,474.07953,461.94748,411.796,185.70882
