Metagenome,MAG,smORF,Length,Mapped,TPM,log (TPM),AMP_family,Domain,Phylum,Class,Order,Family,Genus,Species
M33,Barite_M33_B102,BFHHFIMI_202_8,102,5,16843.69604,4.226437396,CDP,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,NORP259,
M33,Barite_M33_B102,BFHHFIMI_89_18,132,4,10412.46664,4.017553623,CDP,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,NORP259,
M33,Barite_M33_B106,LFCNJEPG_34_26,90,2,7635.808871,3.882855049,CLP,Bacteria,Pseudomonadota,Gammaproteobacteria,QNFE01,QNFE01,,
M33,Barite_M33_B109,NKNCIDFI_9_15,126,9,24543.67137,4.389939527,CDP,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,BCD1,
M33,Barite_M33_B109,NKNCIDFI_259_2,132,4,10412.46664,4.017553623,CDP,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,BCD1,
M33,Barite_M33_B114,HJEFFHPK_247_4,69,4,19919.5014,4.299278464,CLP,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,
M33,Barite_M33_B14,DBOFCDMG_63_27,78,10,44052.74349,4.64397296,CLP,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,
M33,Barite_M33_B19,ENCDCCNJ_59_7,84,1,4090.611895,3.611788277,CLP,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,UBA1924,UBA1924,
M33,Barite_M33_B23,JICMBPMM_160_18,108,18,57268.56653,4.757916313,CLP,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,
M33,Barite_M33_B30,COHBHEGN_4_5,159,16,34577.24772,4.538790421,CLP,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Urechidicola,
M33,Barite_M33_B32,MFEMIGBH_29_13,120,2,5726.856653,3.757916313,CLP,Bacteria,Pseudomonadota,Gammaproteobacteria,GCA-001735895,GCA-001735895,,
M33,Barite_M33_B38,JMMHIICP_242_1,132,6,15618.69996,4.193644882,CDP,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,
M33,Barite_M33_B41,BGLBHDLA_135_4,117,5,14684.24783,4.166851706,CLP,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,UBA1924,UBA1924,
M33,Barite_M33_B53,CPPAPOMF_206_1,141,1,2436.960278,3.38684845,CDP,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Schleiferiaceae,JAOARK01,
M33,Barite_M33_B56,ENICKNPH_135_6,138,2,4979.875351,3.697218472,CLP,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,
M33,Barite_M33_B61,CAOEPHBC_50_28,81,1,4242.116039,3.627582544,CDP,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,
M33,Barite_M33_B62,AGFGDEPP_3_140,132,3,7809.349982,3.892614887,CDP,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Emcibacteraceae,Paremcibacter,
M33,Barite_M33_B66,NGMOPKMC_108_7,114,2,6028.270161,3.780192707,CLP,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentales,GCA-2746185,DTSJ01,
M33,Barite_M33_B66,NGMOPKMC_86_2,144,2,4772.380544,3.678735067,CLP,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentales,GCA-2746185,DTSJ01,
M33,Barite_M33_B68,OLFOFOJF_94_3,111,1,3095.598191,3.490744584,CDP,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,
M33,Barite_M33_B71,LHGKDENN_132_5,123,2,5587.177223,3.747192447,CDP,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Marinicellaceae,NORP309,
M33,Barite_M33_B80,BKBHMIGP_82_12,93,19,70200.17833,4.846338215,CLP,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,UBA1924,UBA1924,
M33,Barite_M33_B80,BKBHMIGP_30_95,132,7,18221.81662,4.260591672,CDP,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,UBA1924,UBA1924,
M33,Barite_M33_B83,GMKLPHPK_131_1,84,1,4090.611895,3.611788277,CLP,Archaea,Halobacteriota,Syntropharchaeia,Alkanophagales,Methanospirareceae,QMVO01,QMVO01 sp025464645
M33,Barite_M33_B89,EMEEGMFL_506_1,135,4,10181.07849,4.007793786,CDP,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,JABSOG01,
M33,Barite_M33_B90,MDJGNOFL_42_6,87,2,7899.112625,3.897578306,CLP,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,,
M33,Barite_M33_B90,MDJGNOFL_123_2,96,1,3579.285408,3.55379633,CLP,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,,
M36,Aegir_M36_B21,KFOBHDBC_709_9,99,4,31482.67545,4.498071632,CLP,Bacteria,Chloroflexota,Anaerolineae,Promineifilales,Promineifilaceae,JAJRTP01,
M36,Aegir_M36_B22,AMFJPKLD_101_11,93,10,83784.53951,4.923163887,CLP,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,UBA1140,
M36,Aegir_M36_B22,AMFJPKLD_20_3,126,3,18552.29089,4.268397545,CDP,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,UBA1140,
M36,Aegir_M36_B28,POOKNHCI_289_17,90,2,17315.4715,4.238434322,CLP,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,JAADHO01,
M36,Aegir_M36_B30,LKACKFMG_10_7,126,2,12368.19393,4.092306286,CLP,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,
M36,Aegir_M36_B42,CENODMGI_218_3,111,1,7019.785743,3.846323857,CDP,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Vicingaceae,GCA-002793235,
M36,Aegir_M36_B56,GDAKIHJJ_73_7,102,2,15278.3572,4.184076659,CDP,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Putridiphycobacter,
M36,Aegir_M36_B8,KIEHLOCK_199_9,129,2,12080.56151,4.082087121,CDP,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA1556,CG2-30-33-31,
M37,Aegir_M37_B18,FJOFIFII_351_1,96,2,27155.49465,4.433857718,CLP,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Devosiaceae,DROE01,
M37,Aegir_M37_B21,JBPFJJCB_238_3,111,3,35228.74982,4.546897231,CDP,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,,,
M37,Aegir_M37_B35,CJICECBE_25_4,162,2,16092.14498,4.206613937,CDP,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,
M37,Aegir_M37_B36,HECOAHAK_64_96,105,1,12413.94041,4.093909656,CDP,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,
M37,Aegir_M37_B40,LOEOMKJD_66_19,90,2,28965.86096,4.461886442,CLP,Bacteria,Fermentibacterota,Fermentibacteria,Fermentibacterales,Fermentibacteraceae,Sabulitectum,
M37,Aegir_M37_B41,CICNOPNC_108_13,90,4,57931.72192,4.762916437,CLP,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,B16-G9,
M37,Aegir_M37_B45,PCPMHHLM_252_1,126,1,10344.95034,4.01472841,CLP,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales_E,UBA2779,UBA2779,
M37,Aegir_M37_B51,OHMOLDFD_363_3,114,2,22867.78497,4.3592241,CDP,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,,
M37,Aegir_M37_B56,LAJLOBNE_215_6,111,1,11742.91661,4.069775977,CLP,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosalsimonadaceae,SURF-3,
M37,Aegir_M37_B8,OHAGCPAB_196_4,117,2,22281.43151,4.347943089,CDP,Bacteria,Chloroflexota,Anaerolineae,Promineifilales,Promineifilaceae,S016-13,
M37,Aegir_M37_B9,EMJIGOFO_76_6,75,3,52138.54973,4.717158947,CDP,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,
M37,Aegir_M37_B9,EMJIGOFO_95_12,72,2,36207.3262,4.558796455,CDP,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,
M38,Aegir_M38_B102,CFOIEDKB_34_33,138,1,430.4904621,2.633963534,CDP,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,JAADGE01,CAMZKQ01,
M38,Aegir_M38_B108,IAJGHCOB_138_6,120,14,6930.896439,3.84078941,CDP,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Putridiphycobacter,
M38,Aegir_M38_B109,PLALPCGD_57_10,90,7,4620.597626,3.664698151,CLP,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-002733185,
M38,Aegir_M38_B3,IAPKAHNK_99_9,108,8,4400.569168,3.643508852,CLP,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,,
M38,Aegir_M38_B3,IAPKAHNK_153_3,126,2,942.9791074,2.974502071,CDP,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,,
M38,Aegir_M38_B30,APGDIBME_35_8,102,3,1747.284817,3.242363703,CLP,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,WTBX01 sp030949405
M38,Aegir_M38_B32,EHIJNLMB_129_1,144,6,2475.320157,3.393631378,CDP,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA3077,
M38,Aegir_M38_B36,JNFGIEIN_123_9,144,5,2062.766797,3.314450132,CDP,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA3077,
M38,Aegir_M38_B38,LMPFGBPF_32_58,72,1,825.1067189,2.916510124,CDP,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA3077,
M38,Aegir_M38_B4,CCEEDJDB_69_21,126,7,3300.426876,3.518570115,CLP,Archaea,Halobacteriota,Syntropharchaeia,Alkanophagales,Methanospirareceae,G60ANME1,G60ANME1 sp025464325
M38,Aegir_M38_B40,LEKKIAAH_150_1,117,4,2031.031924,3.30771675,CLP,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,CG1-02-35-72,
M38,Aegir_M38_B40,LEKKIAAH_64_1,132,2,900.1164207,2.954298685,CDP,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,CG1-02-35-72,
M38,Aegir_M38_B41,HENIIIJL_349_2,102,2,1164.856544,3.066272444,CDP,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,SZUA-451,
M38,Aegir_M38_B45,PDGCENIA_58_1,114,2,1042.240066,3.017967764,CLP,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methyloprofundus,Methyloprofundus sp900128525
M38,Aegir_M38_B48,MICOHLPA_59_3,105,2,1131.574929,3.053683317,CLP,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,CG1-02-35-72,
M38,Aegir_M38_B49,KHHHKCJG_227_1,132,2,900.1164207,2.954298685,CDP,Bacteria,Desulfobacterota,DSM-4660,Desulfatiglandales,Desulfatiglandaceae,B111-G9,
M38,Aegir_M38_B58,EGDGCNOE_1_2,123,3,1448.967897,3.161058763,CLP,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Sanyastnellaceae,UBA974,UBA974 sp002746975
M38,Aegir_M38_B6,LPEMMCJN_72_9,66,2,1800.232841,3.25532868,CLP,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,
M38,Aegir_M38_B61,EHKJGOEI_547_4,111,16,8563.269732,3.932639624,CDP,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA11858,NIOZ-UU35,
M38,Aegir_M38_B61,EHKJGOEI_558_6,90,2,1320.17075,3.120630106,CDP,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA11858,NIOZ-UU35,
M38,Aegir_M38_B64,NAOKMLNH_130_21,174,5,1707.11735,3.232263376,CDP,Bacteria,Bdellovibrionota_B,Oligoflexia,Oligoflexales,JAWKNZ01,,
M38,Aegir_M38_B66,EMLCJMHO_136_9,84,28,19802.56125,4.296721365,CDP,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,VMSU01,JAQYVV01,
M38,Aegir_M38_B66,EMLCJMHO_60_2,144,8,3300.426876,3.518570115,CLP,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,VMSU01,JAQYVV01,
M38,Aegir_M38_B66,EMLCJMHO_99_24,108,3,1650.213438,3.217540119,CDP,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,VMSU01,JAQYVV01,
M38,Aegir_M38_B68,FFDAKDOA_35_1,60,1,990.1280627,2.99569137,CLP,Bacteria,Bipolaricaulota,Bipolaricaulia,RBG-16-55-9,JANLFV01,,
M38,Aegir_M38_B71,CPPEEGKI_116_6,135,3,1320.17075,3.120630106,CDP,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,JAPKDA01,
M38,Aegir_M38_B71,CPPEEGKI_126_3,99,2,1200.155228,3.079237421,CLP,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,JAPKDA01,
M38,Aegir_M38_B73,GACEDKPE_90_27,135,1,440.0569168,2.643508852,CDP,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,
M38,Aegir_M38_B74,CNCNCCNP_152_18,63,4,3771.916429,3.576562062,CLP,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,
M38,Aegir_M38_B74,CNCNCCNP_127_6,78,1,761.6369713,2.881748017,CLP,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,
M38,Aegir_M38_B78,GNCENCHD_382_8,108,2,1100.142292,3.04144886,CLP,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,UBA1140,
M38,Aegir_M38_B79,CGJFFKOE_1_96,78,32,24372.38308,4.386897996,CLP,Bacteria,Desulfobacterota,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacterium,
M38,Aegir_M38_B79,CGJFFKOE_1_100,78,17,12947.82851,4.112196939,CLP,Bacteria,Desulfobacterota,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacterium,
M38,Aegir_M38_B83,BIPNPGMJ_333_4,126,10,4714.895537,3.673472075,CLP,Bacteria,Myxococcota,Bradymonadia,UBA7976,UBA1532,,
M38,Aegir_M38_B83,BIPNPGMJ_283_20,57,1,1042.240066,3.017967764,CDP,Bacteria,Myxococcota,Bradymonadia,UBA7976,UBA1532,,
M38,Aegir_M38_B84,LMKJOADE_83_10,159,224,83693.84379,4.922693514,CDP,Bacteria,Pseudomonadota,Gammaproteobacteria,JAUZRS01,JAUZRS01,JAUZRS01,JAUZRS01 sp030949385
M38,Aegir_M38_B85,ACLCOCJL_40_18,132,37,16652.15378,4.221470413,CDP,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,GCA-2401725,GCA-2401725 sp002401725
M38,Aegir_M38_B85,ACLCOCJL_35_2,111,2,1070.408716,3.029549637,CLP,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,GCA-2401725,GCA-2401725 sp002401725
M38,Aegir_M38_B90,NBPCDCCG_13_19,144,20,8251.067189,3.916510124,CDP,Archaea,Halobacteriota,Syntropharchaeia,Alkanophagales,Methanospirareceae,Methanoxibalbensis,
M38,Aegir_M38_B90,NBPCDCCG_15_13,177,16,5370.186103,3.729989336,CDP,Archaea,Halobacteriota,Syntropharchaeia,Alkanophagales,Methanospirareceae,Methanoxibalbensis,
M38,Aegir_M38_B92,HJJGMEJB_29_35,117,6,3046.547885,3.483808009,CLP,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,
M38,Aegir_M38_B99,IBPAHCCO_16_24,96,2,1237.660078,3.092601383,CDP,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,
M39,Aegir_M39_B101,OOLOLMOA_35_13,90,1,784.8567995,2.894790425,CLP,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,B5-G16,
M39,Aegir_M39_B101,OOLOLMOA_57_9,105,1,672.7343996,2.827843635,CLP,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,B5-G16,
M39,Aegir_M39_B102,HHBKGBCH_17_1,120,3,1765.927799,3.246972943,CLP,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicella,
M39,Aegir_M39_B102,HHBKGBCH_127_1,120,3,1765.927799,3.246972943,CLP,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicella,
M39,Aegir_M39_B108,ELMMPHKD_177_1,129,3,1642.723534,3.215564479,CDP,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA3077,
M39,Aegir_M39_B108,ELMMPHKD_187_4,93,2,1519.077676,3.181579981,CLP,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA3077,
M39,Aegir_M39_B109,ICBCKKKK_253_5,84,10,8409.179994,3.924753648,CDP,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,JAADJA01,JAADJA01,
M39,Aegir_M39_B109,ICBCKKKK_199_14,69,6,6142.357561,3.788335094,CDP,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,JAADJA01,JAADJA01,
M39,Aegir_M39_B109,ICBCKKKK_185_44,81,5,4360.315553,3.63951792,CLP,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,JAADJA01,JAADJA01,
M39,Aegir_M39_B109,ICBCKKKK_56_29,81,4,3488.252442,3.542607907,CDP,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,JAADJA01,JAADJA01,
M39,Aegir_M39_B109,ICBCKKKK_56_48,102,4,2770.082822,3.442492754,CDP,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,JAADJA01,JAADJA01,
M39,Aegir_M39_B109,ICBCKKKK_79_12,78,2,1811.207999,3.257968328,CLP,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,JAADJA01,JAADJA01,
M39,Aegir_M39_B109,ICBCKKKK_138_15,120,2,1177.285199,3.070881684,CLP,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,JAADJA01,JAADJA01,
M39,Aegir_M39_B112,ICNECMED_168_11,93,6,4557.233029,3.658701236,CDP,Bacteria,Calditrichota,Calditrichia,Calditrichales,Calditrichaceae,JANTFQ01,
M39,Aegir_M39_B112,ICNECMED_121_17,120,2,1177.285199,3.070881684,CLP,Bacteria,Calditrichota,Calditrichia,Calditrichales,Calditrichaceae,JANTFQ01,
M39,Aegir_M39_B113,NBHHOGLK_65_2,93,1,759.5388382,2.880549986,CDP,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA1556,CG2-30-33-31,
M39,Aegir_M39_B117,IAKFMJEM_316_3,63,7,7848.567995,3.894790425,CLP,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,
M39,Aegir_M39_B117,IAKFMJEM_183_8,114,10,6196.237891,3.792128083,CLP,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,
M39,Aegir_M39_B117,IAKFMJEM_272_2,99,6,4281.037088,3.63154899,CLP,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,
M39,Aegir_M39_B118,IKDFCCNA_57_1,111,6,3818.222268,3.581861206,CLP,Archaea,Thermoproteota,Nitrososphaeria,Conexivisphaerales,CALBHZ01,,
M39,Aegir_M39_B124,MKNJNPBE_3_214,135,2,1046.475733,3.019729162,CLP,Archaea,Thermoproteota,Nitrososphaeria_A,Caldarchaeales,Wolframiiraptoraceae,Benthortus,
M39,Aegir_M39_B126,NGIDNPEH_9_18,132,2,1070.259272,3.029488999,CLP,Bacteria,Desulfobacterota,DSM-4660,Desulfatiglandales,Desulfatiglandaceae,JAGGTJ01,
M39,Aegir_M39_B131,GCPFHCHN_84_3,117,1,603.7359996,2.780847073,CLP,Bacteria,Armatimonadota,Zipacnadia,Zipacnadales,FEN-943,JAKORR01,
M39,Aegir_M39_B136,IGJLCKIK_7_23,126,8,4484.895997,3.651752376,CDP,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,UBA4459,
M39,Aegir_M39_B136,IGJLCKIK_8_44,72,1,981.0709993,2.991700438,CDP,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,UBA4459,
M39,Aegir_M39_B137,MGGLONMC_44_9,81,23,20057.45154,4.302275752,CLP,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,
M39,Aegir_M39_B137,MGGLONMC_56_6,126,22,12333.46399,4.09108507,CLP,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,
M39,Aegir_M39_B14,OENFBOHI_142_5,108,2,1308.094666,3.116639175,CLP,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,JAKISE01,
M39,Aegir_M39_B141,FDIMNBAG_320_4,87,1,811.920827,2.909513682,CLP,Bacteria,Desulfobacterota,DSWW01,DSWW01,DSWW01,,
M39,Aegir_M39_B144,LEDLLEGN_1_33,105,7,4709.140797,3.672941675,CDP,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Sedimenticolaceae,Thiolapillus,
M39,Aegir_M39_B146,OICIJIOO_69_5,114,6,3717.742734,3.570279334,CLP,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
M39,Aegir_M39_B146,OICIJIOO_47_7,129,6,3285.447068,3.516594475,CLP,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
