Sample	MAG	smORF	Length
M24	Aegir_M24_B37	FGBPHCAI_72_17	40
M24	Aegir_M24_B37	FGBPHCAI_21_16	33
M24	Aegir_M24_B37	FGBPHCAI_30_60	36
M24	Aegir_M24_B37	FGBPHCAI_57_34	38
M24	Aegir_M24_B37	FGBPHCAI_57_45	60
M24	Aegir_M24_B37	FGBPHCAI_87_37	45
M24	Aegir_M24_B38	BMKALGPG_1050_1	28
M24	Aegir_M24_B38	BMKALGPG_1031_4	34
M24	Aegir_M24_B38	BMKALGPG_115_5	32
M24	Aegir_M24_B39	PINHJFLC_508_5	37
M24	Aegir_M24_B39	PINHJFLC_167_1	26
M24	Aegir_M24_B39	PINHJFLC_811_1	28
M24	Aegir_M24_B39	PINHJFLC_638_1	31
M24	Aegir_M24_B40	ADFKEOCB_70_1	22
M24	Aegir_M24_B41	AOLGDHFD_212_11	41
M24	Aegir_M24_B42	BCGFPKJE_44_7	44
M24	Aegir_M24_B42	BCGFPKJE_39_1	38
M24	Aegir_M24_B45	DPHDEEHI_52_2	35
M24	Aegir_M24_B46	GPNBCOBB_395_7	42
M24	Aegir_M24_B47	MFJGAAJL_28_15	66
M24	Aegir_M24_B5	HPFIMPEI_29_9	23
M24	Aegir_M24_B51	CLBBIEOL_24_3	36
M24	Aegir_M24_B52	JLMBNEBE_87_10	29
M24	Aegir_M24_B54	DONGBMFP_677_6	41
M24	Aegir_M24_B55	BKMJBOJD_137_19	33
M24	Aegir_M24_B56	DBCHONDG_295_6	41
M24	Aegir_M24_B56	DBCHONDG_144_3	34
M24	Aegir_M24_B58	GNKANFNI_17_14	35
M24	Aegir_M24_B58	GNKANFNI_31_10	29
M24	Aegir_M24_B58	GNKANFNI_55_6	42
M24	Aegir_M24_B58	GNKANFNI_95_11	39
M24	Aegir_M24_B59	ECACJCPL_140_6	33
M24	Aegir_M24_B59	ECACJCPL_81_21	31
M24	Aegir_M24_B59	ECACJCPL_208_8	30
M24	Aegir_M24_B59	ECACJCPL_167_10	38
M24	Aegir_M24_B6	KKNDCODD_308_9	35
M24	Aegir_M24_B6	KKNDCODD_182_1	26
M24	Aegir_M24_B6	KKNDCODD_100_6	30
M24	Aegir_M24_B6	KKNDCODD_310_3	46
M24	Aegir_M24_B61	JFGKALPH_53_9	27
M24	Aegir_M24_B61	JFGKALPH_415_7	35
M24	Aegir_M24_B62	OOCMFLME_58_17	24
M24	Aegir_M24_B63	EMAKPJIN_100_1	38
M24	Aegir_M24_B65	HEPNEEPN_374_1	57
M24	Aegir_M24_B67	DHIBOGDD_169_1	32
M24	Aegir_M24_B67	DHIBOGDD_272_33	35
M24	Aegir_M24_B7	LKKEPBNP_148_14	42
M24	Aegir_M24_B7	LKKEPBNP_155_29	30
M24	Aegir_M24_B71	GIIHCCLI_153_4	43
M24	Aegir_M24_B72	AMCEHCFD_139_45	37
M24	Aegir_M24_B74	MLCBNMHP_99_1	43
M24	Aegir_M24_B75	NCJJNLBN_15_8	32
M24	Aegir_M24_B75	NCJJNLBN_63_47	36
M24	Aegir_M24_B76	HJAPGIAM_58_1	20
M24	Aegir_M24_B77	OLKFNNDA_52_10	23
M24	Aegir_M24_B78	PPLLNGHE_295_7	36
M24	Aegir_M24_B79	MGENFGIA_106_67	22
M24	Aegir_M24_B81	LKBPNCKB_240_1	34
M24	Aegir_M24_B81	LKBPNCKB_34_27	30
M24	Aegir_M24_B81	LKBPNCKB_222_3	42
M24	Aegir_M24_B81	LKBPNCKB_104_21	40
M24	Aegir_M24_B81	LKBPNCKB_239_9	38
M24	Aegir_M24_B81	LKBPNCKB_1_3	35
M24	Aegir_M24_B81	LKBPNCKB_107_1	46
M24	Aegir_M24_B81	LKBPNCKB_239_10	29
M24	Aegir_M24_B81	LKBPNCKB_36_29	31
M24	Aegir_M24_B82	NBGFJMAC_104_20	29
M24	Aegir_M24_B85	NDABMHGF_582_8	39
M24	Aegir_M24_B86	FFEJCLNM_464_1	28
M24	Aegir_M24_B87	NNENBOCK_43_57	25
M24	Aegir_M24_B87	NNENBOCK_130_46	48
M24	Aegir_M24_B87	NNENBOCK_77_7	25
M24	Aegir_M24_B88	OBCMDBHP_88_6	39
M24	Aegir_M24_B88	OBCMDBHP_52_26	27
M24	Aegir_M24_B9	OIHBEECM_91_1	41
M24	Aegir_M24_B92	NJPCPLPI_239_2	29
M24	Aegir_M24_B92	NJPCPLPI_314_6	40
M24	Aegir_M24_B93	BHGFJBKP_59_23	34
M24	Aegir_M24_B93	BHGFJBKP_44_1	37
M24	Aegir_M24_B96	BGMMDEHE_282_2	46
M24	Aegir_M24_B96	BGMMDEHE_30_1	25
M24	Aegir_M24_B98	PCFAOBBO_332_1	30
M24	Aegir_M24_B98	PCFAOBBO_29_1	17
M25	Aegir_M25_B1	GJBGJFNG_58_2	33
M25	Aegir_M25_B10	DBCOEKGD_3_191	17
M25	Aegir_M25_B100	HECEMDOC_64_1	26
M25	Aegir_M25_B101	DOCLLKKD_81_10	26
M25	Aegir_M25_B101	DOCLLKKD_33_18	39
M25	Aegir_M25_B102	KDFDCCFH_128_4	36
M25	Aegir_M25_B102	KDFDCCFH_115_6	41
M25	Aegir_M25_B104	NDACLIJG_25_1	34
M25	Aegir_M25_B107	GNNCBGGM_17_107	14
M25	Aegir_M25_B116	LAMFONBH_15_14	42
M25	Aegir_M25_B12	ODBLGFJF_22_26	31
M25	Aegir_M25_B124	MNFECHNJ_130_5	26
M25	Aegir_M25_B126	FNDHDDGH_29_37	40
M25	Aegir_M25_B129	HDMFDFEC_36_4	42
M25	Aegir_M25_B130	EMAHDGMJ_55_26	41
M25	Aegir_M25_B133	HGNBCPJM_10_2	33
M25	Aegir_M25_B134	FMDDOPJB_118_6	27
M25	Aegir_M25_B135	OEFIAKPL_149_3	43
M25	Aegir_M25_B136	CDPKENHP_22_95	22
M25	Aegir_M25_B136	CDPKENHP_34_2	51
M25	Aegir_M25_B139	ANKKBANP_6_41	30
M25	Aegir_M25_B143	LCOEDOOA_200_3	39
M25	Aegir_M25_B145	CAFPPPBF_6_3	46
M25	Aegir_M25_B148	PCNLCECH_127_1	27
M25	Aegir_M25_B148	PCNLCECH_92_1	24
M25	Aegir_M25_B15	FKABDIKP_362_2	31
M25	Aegir_M25_B150	GKAAFCEO_49_3	23
M25	Aegir_M25_B150	GKAAFCEO_7_17	33
M25	Aegir_M25_B150	GKAAFCEO_41_2	32
M25	Aegir_M25_B151	GNJEFLLD_1_7	23
M25	Aegir_M25_B153	EMKEAJEM_402_1	40
M25	Aegir_M25_B153	EMKEAJEM_818_1	35
M25	Aegir_M25_B154	OEEGLEHL_29_25	62
M25	Aegir_M25_B154	OEEGLEHL_47_2	39
M25	Aegir_M25_B154	OEEGLEHL_38_28	35
M25	Aegir_M25_B154	OEEGLEHL_1_6	33
M25	Aegir_M25_B155	FNFNEMEO_143_1	39
M25	Aegir_M25_B155	FNFNEMEO_112_4	37
M25	Aegir_M25_B156	NFBENEIL_20_17	26
M25	Aegir_M25_B157	DBICPAKL_58_63	69
M25	Aegir_M25_B158	GBOJGMIE_112_2	33
M25	Aegir_M25_B162	BJFOMLKG_81_3	35
M25	Aegir_M25_B165	BMLCGDAE_88_3	35
M25	Aegir_M25_B166	JBOAIABN_11_44	22
M25	Aegir_M25_B166	JBOAIABN_38_23	20
M25	Aegir_M25_B168	DNLFPNMP_16_87	64
M25	Aegir_M25_B17	EFPKCKDP_23_11	65
M25	Aegir_M25_B17	EFPKCKDP_19_38	27
M25	Aegir_M25_B17	EFPKCKDP_51_14	17
M25	Aegir_M25_B170	ELAIDHFC_18_1	38
M25	Aegir_M25_B172	CCGMBFFG_278_1	19
M25	Aegir_M25_B172	CCGMBFFG_425_1	41
M25	Aegir_M25_B172	CCGMBFFG_587_5	36
M25	Aegir_M25_B172	CCGMBFFG_428_1	28
M25	Aegir_M25_B175	JLJPOILO_303_3	42
M25	Aegir_M25_B177	GFAPHGNP_74_1	35
M25	Aegir_M25_B178	CKBFPJAI_14_38	19
M25	Aegir_M25_B180	OONBPIIP_27_9	33
M25	Aegir_M25_B180	OONBPIIP_332_2	34
M25	Aegir_M25_B180	OONBPIIP_11_4	44
M25	Aegir_M25_B181	LCHLHEKD_57_7	26
M25	Aegir_M25_B187	JGCCPAEM_81_39	40
M25	Aegir_M25_B188	DCCNGCIG_21_2	31
M25	Aegir_M25_B188	DCCNGCIG_157_1	32
M25	Aegir_M25_B19	HBGCNCHA_7_5	11
M25	Aegir_M25_B193	OKNDCDBL_338_2	34
M25	Aegir_M25_B194	EFPMGGGC_95_2	25
M25	Aegir_M25_B196	DNAEBAJA_20_4	41
M25	Aegir_M25_B199	BNINIGFF_138_10	32
M25	Aegir_M25_B200	AAFKEBIM_2_1	34
M25	Aegir_M25_B207	KLODJPDJ_179_2	35
M25	Aegir_M25_B208	IHHJCMMD_9_4	26
M25	Aegir_M25_B209	HOJMOMBC_212_1	37
M25	Aegir_M25_B210	MIFALGFJ_3_15	36
M25	Aegir_M25_B215	DBLJEKIA_14_6	31
M25	Aegir_M25_B215	DBLJEKIA_439_3	31
M25	Aegir_M25_B215	DBLJEKIA_374_3	28
M25	Aegir_M25_B216	NDPGLPLK_32_16	39
M25	Aegir_M25_B217	ABPACAOB_232_5	35
M25	Aegir_M25_B217	ABPACAOB_528_2	35
M25	Aegir_M25_B218	OFOBCBEG_40_178	31
M25	Aegir_M25_B218	OFOBCBEG_49_40	23
M25	Aegir_M25_B220	EAHMDHCB_21_1	33
M25	Aegir_M25_B220	EAHMDHCB_70_30	35
M25	Aegir_M25_B221	HDNFIEHE_34_12	31
M25	Aegir_M25_B221	HDNFIEHE_42_14	17
M25	Aegir_M25_B221	HDNFIEHE_52_26	54
M25	Aegir_M25_B223	KJBKIOAM_80_27	33
M25	Aegir_M25_B223	KJBKIOAM_83_4	28
M25	Aegir_M25_B224	GOPPLFKP_11_22	45
M25	Aegir_M25_B224	GOPPLFKP_39_28	27
M25	Aegir_M25_B229	NDFDGGDH_1_4	29
M25	Aegir_M25_B229	NDFDGGDH_114_39	40
M25	Aegir_M25_B229	NDFDGGDH_68_23	29
M25	Aegir_M25_B23	EFMPONMI_129_1	27
M25	Aegir_M25_B23	EFMPONMI_139_4	32
M25	Aegir_M25_B231	GCMBIIMM_31_8	24
M25	Aegir_M25_B231	GCMBIIMM_41_6	33
M25	Aegir_M25_B232	BDOMIJBA_208_1	39
M25	Aegir_M25_B232	BDOMIJBA_111_10	39
M25	Aegir_M25_B232	BDOMIJBA_83_6	43
M25	Aegir_M25_B236	EKOJIBFH_130_1	30
M25	Aegir_M25_B237	KDPMIDBH_128_6	21
M25	Aegir_M25_B237	KDPMIDBH_236_2	26
M25	Aegir_M25_B238	LGMPKPMI_54_17	24
M25	Aegir_M25_B241	IDKIGBJD_168_5	26
M25	Aegir_M25_B241	IDKIGBJD_248_9	40
M25	Aegir_M25_B244	NHIIIKLN_113_21	45
M25	Aegir_M25_B245	MJIPPEME_67_24	29
M25	Aegir_M25_B248	FCJLPJOL_15_2	31
M25	Aegir_M25_B249	APPKEMID_4_16	23
M25	Aegir_M25_B249	APPKEMID_19_35	46
M25	Aegir_M25_B249	APPKEMID_21_6	37
M25	Aegir_M25_B251	MJNBCPKI_33_10	22
M25	Aegir_M25_B252	KLFLDMCD_69_3	29
M25	Aegir_M25_B253	NIPKMEBA_19_15	25
M25	Aegir_M25_B254	DFDIHNMG_507_18	39
M25	Aegir_M25_B254	DFDIHNMG_192_4	34
M25	Aegir_M25_B26	MENBPKOE_145_15	20
M25	Aegir_M25_B3	GMOEOBNB_68_6	25
M25	Aegir_M25_B3	GMOEOBNB_207_20	29
M25	Aegir_M25_B3	GMOEOBNB_9_7	55
M25	Aegir_M25_B31	KCPDNHAK_70_1	33
M25	Aegir_M25_B31	KCPDNHAK_6_38	27
M25	Aegir_M25_B33	GMCODDEA_7_50	22
M25	Aegir_M25_B34	FHCMHAMK_493_4	38
M25	Aegir_M25_B34	FHCMHAMK_120_4	44
M25	Aegir_M25_B34	FHCMHAMK_82_16	39
M25	Aegir_M25_B36	KIPJBGOE_80_4	44
M25	Aegir_M25_B36	KIPJBGOE_135_6	21
M25	Aegir_M25_B37	ALJMBEPD_170_9	33
M25	Aegir_M25_B38	KCLEFMIG_18_18	42
M25	Aegir_M25_B40	EJKDLJJF_46_6	52
M25	Aegir_M25_B42	PMJKNAEO_8_21	26
M25	Aegir_M25_B42	PMJKNAEO_11_39	20
M25	Aegir_M25_B42	PMJKNAEO_6_36	39
M25	Aegir_M25_B43	KOOMOCIH_110_11	42
M25	Aegir_M25_B45	NMKPEHHP_83_5	29
M25	Aegir_M25_B45	NMKPEHHP_293_1	39
M25	Aegir_M25_B46	IIHGGKOK_93_20	39
M25	Aegir_M25_B47	LPFNNGLO_89_27	44
M25	Aegir_M25_B47	LPFNNGLO_87_2	30
M25	Aegir_M25_B47	LPFNNGLO_48_1	26
M25	Aegir_M25_B48	EOLDCPEM_136_7	32
M25	Aegir_M25_B49	GIKLDKJA_20_31	40
M25	Aegir_M25_B49	GIKLDKJA_20_73	28
M25	Aegir_M25_B50	ADKCALKC_66_49	40
M25	Aegir_M25_B54	NMEKPIAN_575_1	34
M25	Aegir_M25_B54	NMEKPIAN_724_5	33
M25	Aegir_M25_B55	CMAAFGAB_20_20	22
M25	Aegir_M25_B57	MFBIBGIB_76_1	25
M25	Aegir_M25_B58	EKAMJCNM_177_2	23
M25	Aegir_M25_B59	FKKLMBGH_13_122	35
M25	Aegir_M25_B6	HLLDGPEO_119_11	32
M25	Aegir_M25_B66	JDPKAENK_43_1	33
M25	Aegir_M25_B67	FIJJPHGJ_266_2	36
M25	Aegir_M25_B67	FIJJPHGJ_138_1	40
M25	Aegir_M25_B68	OEKECGOG_72_5	36
M25	Aegir_M25_B7	ICOMKHEL_90_71	19
M25	Aegir_M25_B7	ICOMKHEL_29_4	40
M25	Aegir_M25_B70	AMOJAIOH_90_18	33
M25	Aegir_M25_B70	AMOJAIOH_3_1	24
M25	Aegir_M25_B70	AMOJAIOH_19_73	45
M25	Aegir_M25_B73	FLFHMAHC_168_4	32
M25	Aegir_M25_B74	PAGHHCMK_39_5	33
M25	Aegir_M25_B77	IHGNANKF_72_3	25
M25	Aegir_M25_B79	DGAMHEBP_134_33	26
M25	Aegir_M25_B79	DGAMHEBP_69_12	26
M25	Aegir_M25_B83	MENCFBOC_703_3	32
M25	Aegir_M25_B83	MENCFBOC_739_5	31
M25	Aegir_M25_B84	HDCNPNCJ_28_16	49
M25	Aegir_M25_B85	FPNGPMKE_109_4	38
M25	Aegir_M25_B85	FPNGPMKE_98_2	24
M25	Aegir_M25_B88	PNKOKCJG_51_3	30
M25	Aegir_M25_B89	FAGMIBAH_35_30	35
M25	Aegir_M25_B89	FAGMIBAH_22_1	45
M25	Aegir_M25_B9	CMHNOBHP_226_1	25
M25	Aegir_M25_B94	ABBBLBMD_122_18	27
M25	Aegir_M25_B94	ABBBLBMD_107_1	30
M25	Aegir_M25_B94	ABBBLBMD_104_2	42
M25	Aegir_M25_B94	ABBBLBMD_87_38	40
M25	Aegir_M25_B94	ABBBLBMD_46_1	38
M25	Aegir_M25_B94	ABBBLBMD_7_2	31
M25	Aegir_M25_B97	PFFBMKHE_122_2	32
M25	Aegir_M25_B99	FLKMLDCN_24_1	29
M26	Aegir_M26_B10	LFKANOBG_147_1	43
M26	Aegir_M26_B10	LFKANOBG_139_10	41
M26	Aegir_M26_B12	PDFOFEJH_146_5	31
M26	Aegir_M26_B16	GCDCONLL_2_1	27
M26	Aegir_M26_B19	HDIEMOMA_39_1	35
M26	Aegir_M26_B24	KIMHDIKC_13_7	26
M26	Aegir_M26_B26	IFPDOPNG_22_50	29
M26	Aegir_M26_B27	DNALNJHC_97_4	33
M26	Aegir_M26_B28	FFGAEJMC_46_75	35
M26	Aegir_M26_B28	FFGAEJMC_38_38	43
M26	Aegir_M26_B29	IKNLBCIC_18_79	31
M26	Aegir_M26_B32	KKIHGFKI_73_8	51
M26	Aegir_M26_B33	MJCJCPAN_418_18	32
M26	Aegir_M26_B33	MJCJCPAN_11_1	44
M26	Aegir_M26_B34	NCDAIAKF_74_2	30
M26	Aegir_M26_B39	GKKEEBDC_22_58	41
M26	Aegir_M26_B40	EFHMKIBB_162_1	51
M26	Aegir_M26_B44	DFLBIPPG_42_16	41
M26	Aegir_M26_B44	DFLBIPPG_17_4	38
M26	Aegir_M26_B46	NJMACCPO_14_2	26
M26	Aegir_M26_B5	BDHJOFGG_53_4	26
M26	Aegir_M26_B6	CBOPLNHK_17_3	29
M26	Aegir_M26_B7	FHBODMBI_109_10	33
M26	Aegir_M26_B9	POHKCCHO_1_10	29
M26	Aegir_M26_B9	POHKCCHO_234_7	32
M33	Barite_M33_B10	JLLMDFFJ_93_4	30
M33	Barite_M33_B100	EHILNAML_112_8	38
M33	Barite_M33_B101	MNIOLPGK_20_7	40
M33	Barite_M33_B101	MNIOLPGK_2_21	44
M33	Barite_M33_B102	BFHHFIMI_47_36	29
M33	Barite_M33_B102	BFHHFIMI_202_8	32
M33	Barite_M33_B102	BFHHFIMI_89_18	42
M33	Barite_M33_B104	JEHDAJPF_61_25	35
M33	Barite_M33_B105	ADJNEHKA_10_3	62
M33	Barite_M33_B106	LFCNJEPG_34_26	28
M33	Barite_M33_B109	NKNCIDFI_359_5	29
M33	Barite_M33_B109	NKNCIDFI_685_6	29
M33	Barite_M33_B109	NKNCIDFI_598_9	44
M33	Barite_M33_B109	NKNCIDFI_9_15	40
M33	Barite_M33_B109	NKNCIDFI_259_2	42
M33	Barite_M33_B109	NKNCIDFI_641_3	39
M33	Barite_M33_B109	NKNCIDFI_428_1	40
M33	Barite_M33_B112	NPLDDKJN_745_5	25
M33	Barite_M33_B114	HJEFFHPK_247_4	21
M33	Barite_M33_B12	ODLGHPJG_124_1	42
M33	Barite_M33_B13	DOFEOPKJ_296_5	45
M33	Barite_M33_B13	DOFEOPKJ_441_2	36
M33	Barite_M33_B13	DOFEOPKJ_250_5	36
M33	Barite_M33_B14	DBOFCDMG_63_27	24
M33	Barite_M33_B15	JOHHCMNB_98_3	30
M33	Barite_M33_B16	OEJDFIBC_143_1	41
M33	Barite_M33_B18	CBFAIEJC_14_291	39
M33	Barite_M33_B19	ENCDCCNJ_59_7	26
M33	Barite_M33_B19	ENCDCCNJ_179_1	34
M33	Barite_M33_B19	ENCDCCNJ_257_3	42
M33	Barite_M33_B20	NGKECJEJ_124_2	39
M33	Barite_M33_B22	HKHLFAFE_360_1	35
M33	Barite_M33_B23	JICMBPMM_160_18	34
M33	Barite_M33_B26	MPHHIGMO_368_2	40
M33	Barite_M33_B27	EOOHJCDJ_283_4	30
M33	Barite_M33_B30	COHBHEGN_4_5	51
M33	Barite_M33_B31	ALBGKPPL_388_24	27
M33	Barite_M33_B32	MFEMIGBH_29_13	38
M33	Barite_M33_B34	NNIJCGEL_214_2	28
M33	Barite_M33_B34	NNIJCGEL_267_22	26
M33	Barite_M33_B38	JMMHIICP_242_1	42
M33	Barite_M33_B4	NGHILOBA_32_8	29
M33	Barite_M33_B40	PHKBGOOM_74_5	26
M33	Barite_M33_B40	PHKBGOOM_156_4	33
M33	Barite_M33_B41	BGLBHDLA_200_1	26
M33	Barite_M33_B41	BGLBHDLA_135_4	37
M33	Barite_M33_B43	OLHBDDCL_19_1	41
M33	Barite_M33_B45	MEICBBJD_113_16	34
M33	Barite_M33_B46	LFFIDLNF_58_1	31
M33	Barite_M33_B47	FADKJNDK_87_1	35
M33	Barite_M33_B49	PHLOBIOC_141_4	31
M33	Barite_M33_B51	FMNJNAMI_146_6	34
M33	Barite_M33_B52	JCAIBNCO_74_3	38
M33	Barite_M33_B52	JCAIBNCO_404_1	33
M33	Barite_M33_B53	CPPAPOMF_206_1	45
M33	Barite_M33_B54	JFPKPEDE_140_3	24
M33	Barite_M33_B55	CFPHHOAB_24_1	29
M33	Barite_M33_B56	ENICKNPH_135_6	44
M33	Barite_M33_B56	ENICKNPH_57_55	39
M33	Barite_M33_B56	ENICKNPH_167_2	16
M33	Barite_M33_B56	ENICKNPH_54_8	54
M33	Barite_M33_B61	CAOEPHBC_50_28	25
M33	Barite_M33_B62	AGFGDEPP_3_140	42
M33	Barite_M33_B64	FBCGENOP_346_3	30
M33	Barite_M33_B65	LLGBHINH_191_2	22
M33	Barite_M33_B65	LLGBHINH_237_1	39
M33	Barite_M33_B66	NGMOPKMC_108_7	36
M33	Barite_M33_B66	NGMOPKMC_86_2	46
M33	Barite_M33_B67	DLFDEKGP_61_58	32
M33	Barite_M33_B67	DLFDEKGP_58_1	40
M33	Barite_M33_B67	DLFDEKGP_30_27	30
M33	Barite_M33_B68	OLFOFOJF_94_3	35
M33	Barite_M33_B71	LHGKDENN_42_7	33
M33	Barite_M33_B71	LHGKDENN_246_1	27
M33	Barite_M33_B71	LHGKDENN_98_19	23
M33	Barite_M33_B71	LHGKDENN_132_5	39
M33	Barite_M33_B74	GEAAAAEN_30_30	39
M33	Barite_M33_B74	GEAAAAEN_350_15	35
M33	Barite_M33_B74	GEAAAAEN_96_60	22
M33	Barite_M33_B8	KFCJGCLI_144_6	39
M33	Barite_M33_B8	KFCJGCLI_3_9	36
M33	Barite_M33_B80	BKBHMIGP_82_12	29
M33	Barite_M33_B80	BKBHMIGP_30_95	42
M33	Barite_M33_B82	OKJDKIPL_9_5	39
M33	Barite_M33_B83	GMKLPHPK_131_1	26
M33	Barite_M33_B89	EMEEGMFL_620_3	36
M33	Barite_M33_B89	EMEEGMFL_700_3	35
M33	Barite_M33_B89	EMEEGMFL_506_1	43
M33	Barite_M33_B90	MDJGNOFL_123_2	30
M33	Barite_M33_B90	MDJGNOFL_42_6	27
M33	Barite_M33_B90	MDJGNOFL_149_1	38
M33	Barite_M33_B93	DLLABPDM_128_1	47
M33	Barite_M33_B94	IEAPBGPM_57_17	24
M33	Barite_M33_B95	FMFMJIIM_115_3	38
M33	Barite_M33_B99	HIDEMPIF_85_5	36
M36	Aegir_M36_B15	LAPKCFCO_130_4	40
M36	Aegir_M36_B2	NDAJAKLO_206_6	27
M36	Aegir_M36_B21	KFOBHDBC_709_9	31
M36	Aegir_M36_B21	KFOBHDBC_243_3	42
M36	Aegir_M36_B21	KFOBHDBC_513_2	26
M36	Aegir_M36_B22	AMFJPKLD_20_3	40
M36	Aegir_M36_B22	AMFJPKLD_101_11	29
M36	Aegir_M36_B23	KFHHGAEL_135_13	33
M36	Aegir_M36_B26	GAOBNHDM_377_3	36
M36	Aegir_M36_B28	POOKNHCI_177_35	26
M36	Aegir_M36_B28	POOKNHCI_289_17	28
M36	Aegir_M36_B29	HOOJLFPK_26_13	42
M36	Aegir_M36_B30	LKACKFMG_21_13	30
M36	Aegir_M36_B30	LKACKFMG_10_7	40
M36	Aegir_M36_B30	LKACKFMG_19_32	42
M36	Aegir_M36_B30	LKACKFMG_27_38	38
M36	Aegir_M36_B30	LKACKFMG_27_37	29
M36	Aegir_M36_B30	LKACKFMG_52_2	31
M36	Aegir_M36_B35	APLIPKFB_46_4	31
M36	Aegir_M36_B35	APLIPKFB_158_9	42
M36	Aegir_M36_B35	APLIPKFB_18_25	41
M36	Aegir_M36_B36	LDCPKHLH_26_3	39
M36	Aegir_M36_B36	LDCPKHLH_546_5	33
M36	Aegir_M36_B37	BIGHILKH_237_1	23
M36	Aegir_M36_B37	BIGHILKH_204_5	29
M36	Aegir_M36_B39	EJJLEDJN_69_24	34
M36	Aegir_M36_B4	MFMOEDNK_171_1	39
M36	Aegir_M36_B4	MFMOEDNK_33_10	19
M36	Aegir_M36_B4	MFMOEDNK_357_3	28
M36	Aegir_M36_B42	CENODMGI_110_1	26
M36	Aegir_M36_B42	CENODMGI_218_3	35
M36	Aegir_M36_B42	CENODMGI_20_1	41
M36	Aegir_M36_B42	CENODMGI_6_4	33
M36	Aegir_M36_B43	LKNDKLPM_270_12	33
M36	Aegir_M36_B45	KCAABIEO_290_1	27
M36	Aegir_M36_B45	KCAABIEO_293_12	51
M36	Aegir_M36_B46	AODPIKDL_77_68	42
M36	Aegir_M36_B46	AODPIKDL_62_9	21
M36	Aegir_M36_B46	AODPIKDL_63_2	32
M36	Aegir_M36_B47	BLKNPGAP_110_15	30
M36	Aegir_M36_B48	IGGOJNFL_101_2	40
M36	Aegir_M36_B49	CFBHPGFJ_48_6	28
M36	Aegir_M36_B5	NNMJOBBE_330_3	37
M36	Aegir_M36_B50	ECGDAIFI_208_2	22
M36	Aegir_M36_B54	NEFIDIMH_38_28	25
M36	Aegir_M36_B54	NEFIDIMH_1_8	40
M36	Aegir_M36_B56	GDAKIHJJ_73_7	32
