Metagenome,MAG_ID,BGC_ID,class,Predicted product,TPM,Domain,Phylum,Class,Order,Family,Genus,Species
M24,Aegir_M24_B131,CIIHKDJI_51.region001,RiPP,RiPP-like,425.3557754,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,
M24,Aegir_M24_B131,CIIHKDJI_89.region001,Terpene,Terpene generic,288.1296708,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,
M24,Aegir_M24_B132,BKNNPPBI_130.region001,Hybrid,NRPS-like:T1PKS,133.489679,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,JARGPD01,
M24,Aegir_M24_B132,BKNNPPBI_8.region001,Hybrid,NRPS:T1PKS,63.42574165,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,JARGPD01,
M24,Aegir_M24_B17,JECBHHKC_10.region001,RiPP,RiPP-like,32.47719619,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,,
M24,Aegir_M24_B18,BHALFHGL_65.region001,RiPP,RiPP-like,82.33230995,Bacteria,Pseudomonadota,Gammaproteobacteria,DSM-19610,DSM-19610,Thiogranum,
M24,Aegir_M24_B18,BHALFHGL_116.region001,Other,hserlactone,33.04559248,Bacteria,Pseudomonadota,Gammaproteobacteria,DSM-19610,DSM-19610,Thiogranum,
M24,Aegir_M24_B19,FPDLEAHF_55.region001,Other,acyl_amino_acids,843.8409375,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,,
M24,Aegir_M24_B19,FPDLEAHF_158.region001,Other,acyl_amino_acids,155.9304873,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,,
M24,Aegir_M24_B19,FPDLEAHF_19.region001,Other,acyl_amino_acids,88.03962162,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,,
M24,Aegir_M24_B19,FPDLEAHF_54.region001,RiPP,RiPP-like,49.07046646,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,,
M24,Aegir_M24_B2,AGHCKNLD_459.region001,NRP,NRPS-like,306.8365145,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,JBCCRV01,
M24,Aegir_M24_B2,AGHCKNLD_390.region001,Hybrid,T3PKS:RiPP-like,282.4272536,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,JBCCRV01,
M24,Aegir_M24_B2,AGHCKNLD_341.region001,Other,arylpolyene,249.2807264,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,JBCCRV01,
M24,Aegir_M24_B2,AGHCKNLD_294.region001,NRP,NRPS-like,105.6700098,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,JBCCRV01,
M24,Aegir_M24_B2,AGHCKNLD_385.region001,Terpene,Terpene generic,54.20028823,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,JBCCRV01,
M24,Aegir_M24_B2,AGHCKNLD_664.region001,Terpene,Terpene generic,47.9794221,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,JBCCRV01,
M24,Aegir_M24_B2,AGHCKNLD_356.region001,Terpene,Terpene generic,47.09462745,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,JBCCRV01,
M24,Aegir_M24_B21,LHGLAGHD_27.region001,Other,hserlactone,137.7142736,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,SZUA-100,
M24,Aegir_M24_B21,LHGLAGHD_14.region001,Polyketide,T3PKS,29.54930112,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,SZUA-100,
M24,Aegir_M24_B23,EKPCADKE_145.region001,RiPP,RiPP-like,914.8859649,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amylibacter,Amylibacter sp024280735
M24,Aegir_M24_B24,FPPHCGEG_1.region001,RiPP,RiPP-like,32.6024756,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-152,SZUA-152,SZUA-152,
M24,Aegir_M24_B27,MGMOCMNP_243.region001,NRP,CDPS,53440.55121,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,,
M24,Aegir_M24_B27,MGMOCMNP_146.region001,Polyketide,T1PKS,25763.2462,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,,
M24,Aegir_M24_B27,MGMOCMNP_205.region001,Polyketide,T1PKS,1222.387878,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,,
M24,Aegir_M24_B28,HMICOCJM_92.region001,Terpene,Terpene generic,98.67289906,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomarinum,
M24,Aegir_M24_B29,IMEAMOFF_101.region001,RiPP,RiPP-like,97.43158857,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,GCA-002770795,DRNA01,
M24,Aegir_M24_B29,IMEAMOFF_76.region001,Terpene,Terpene generic,33.97384834,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,GCA-002770795,DRNA01,
M24,Aegir_M24_B31,LKIEJCHL_352.region001,NRP,NRPS-like,1927.79198,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,
M24,Aegir_M24_B34,OINKMAKN_30.region001,Terpene,Terpene generic,51.10015658,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Devosiaceae,DROE01,
M24,Aegir_M24_B36,CFEKOEEO_299.region001,Hybrid,hglE-KS:T1PKS,49.63307528,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,
M24,Aegir_M24_B36,CFEKOEEO_84.region001,Other,acyl_amino_acids,24.86695302,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,
M24,Aegir_M24_B4,EAPIMLMG_60.region001,RiPP,RiPP-like,3424.60384,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,Sulfurovum sp030949325
M24,Aegir_M24_B4,EAPIMLMG_20.region001,RiPP,RRE-containing,879.4901481,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,Sulfurovum sp030949325
M24,Aegir_M24_B42,BCGFPKJE_21.region001,Polyketide,T1PKS,22.39688868,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicella,
M24,Aegir_M24_B42,BCGFPKJE_33.region001,Hybrid,hserlactone:RiPP-redox-cofactor,16.81751768,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicella,
M24,Aegir_M24_B42,BCGFPKJE_30.region001,NRP,NRP generic,7.926219814,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicella,
M24,Aegir_M24_B44,LIEFECIJ_66.region001,Other,arylpolyene,542.8783236,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,
M24,Aegir_M24_B44,LIEFECIJ_14.region001,RiPP,RiPP-like,294.395668,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,
M24,Aegir_M24_B44,LIEFECIJ_31.region001,NRP,NRP generic,80.98737295,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,
M24,Aegir_M24_B44,LIEFECIJ_5.region001,Other,ectoine,34.17500283,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,
M24,Aegir_M24_B45,DPHDEEHI_174.region001,RiPP,RRE-containing,335.6518007,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,
M24,Aegir_M24_B45,DPHDEEHI_71.region001,RiPP,RiPP-like,266.0987664,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,
M24,Aegir_M24_B45,DPHDEEHI_103.region001,Polyketide,hglE-KS,162.8842832,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,
M24,Aegir_M24_B45,DPHDEEHI_191.region001,NRP,NRPS-like,147.4641718,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,
M24,Aegir_M24_B45,DPHDEEHI_74.region001,Polyketide,hglE-KS,98.42393234,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,
M24,Aegir_M24_B45,DPHDEEHI_89.region001,RiPP,RiPP-like,66.30103742,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,
M24,Aegir_M24_B45,DPHDEEHI_146.region001,Other,arylpolyene,64.25482023,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,
M24,Aegir_M24_B45,DPHDEEHI_35.region001,NRP,NRPS-like,48.90820534,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,
M24,Aegir_M24_B45,DPHDEEHI_9.region001,Polyketide,T1PKS,46.55419729,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,
M24,Aegir_M24_B45,DPHDEEHI_44.region001,Hybrid,NRPS-like:hglE-KS,31.87450653,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,
M24,Aegir_M24_B45,DPHDEEHI_70.region001,Polyketide,hglE-KS,10.3830512,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,
M24,Aegir_M24_B49,MHNLAKHI_132.region001,RiPP,RiPP-like,88.8105465,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-152,SZUA-152,SZUA-152,
M24,Aegir_M24_B5,HPFIMPEI_97.region001,RiPP,RiPP-like,65.42125956,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,
M24,Aegir_M24_B51,CLBBIEOL_10.region001,Other,acyl_amino_acids,17.64029987,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,,
M24,Aegir_M24_B52,JLMBNEBE_99.region001,RiPP,RiPP-like,1694.106208,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Colwellia,
M24,Aegir_M24_B52,JLMBNEBE_91.region001,Other,hserlactone,1519.750634,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Colwellia,
M24,Aegir_M24_B52,JLMBNEBE_3.region001,Other,PUFA,846.5825747,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Colwellia,
M24,Aegir_M24_B53,GFACKNHO_178.region001,RiPP,RRE-containing,50.84155749,Bacteria,Bacteroidota_A,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,GCA-2746605,
M24,Aegir_M24_B55,BKMJBOJD_20.region001,Terpene,Terpene generic,46.68890627,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NORP23,
M24,Aegir_M24_B55,BKMJBOJD_153.region001,Other,hserlactone,19.94245811,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NORP23,
M24,Aegir_M24_B58,GNKANFNI_62.region001,RiPP,RiPP-like,29177.88176,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,WTBX01 sp030949405
M24,Aegir_M24_B60,NNEBPJHD_42.region001,Other,hserlactone,86.19682249,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NVTR01,
M24,Aegir_M24_B61,JFGKALPH_60.region001,NRP,CDPS,7811.444177,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,,
M24,Aegir_M24_B61,JFGKALPH_8.region001,Polyketide,T1PKS,5654.481043,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,,
M24,Aegir_M24_B61,JFGKALPH_198.region001,Polyketide,T1PKS,1846.301487,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,,
M24,Aegir_M24_B62,OOCMFLME_373.region001,NRP,NRPS-like,403.2898823,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,QPIN01 sp026988195
M24,Aegir_M24_B62,OOCMFLME_400.region001,Other,hserlactone,194.4007417,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,QPIN01 sp026988195
M24,Aegir_M24_B62,OOCMFLME_168.region001,Hybrid,NRPS:T1PKS,119.4221662,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,QPIN01 sp026988195
M24,Aegir_M24_B66,ABLFJFHB_319.region001,RiPP,RiPP-like,788.0178061,Bacteria,Bdellovibrionota_B,Oligoflexia,Oligoflexales,JAWKNZ01,JAWKNZ01,
M24,Aegir_M24_B66,ABLFJFHB_285.region001,Polyketide,T3PKS,293.1119013,Bacteria,Bdellovibrionota_B,Oligoflexia,Oligoflexales,JAWKNZ01,JAWKNZ01,
M24,Aegir_M24_B66,ABLFJFHB_66.region001,Polyketide,hglE-KS,137.8903617,Bacteria,Bdellovibrionota_B,Oligoflexia,Oligoflexales,JAWKNZ01,JAWKNZ01,
M24,Aegir_M24_B66,ABLFJFHB_55.region001,Other,resorcinol,98.4554775,Bacteria,Bdellovibrionota_B,Oligoflexia,Oligoflexales,JAWKNZ01,JAWKNZ01,
M24,Aegir_M24_B68,BPKPMAHG_11.region001,RiPP,RRE-containing,3736.586888,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,
M24,Aegir_M24_B68,BPKPMAHG_91.region001,RiPP,RiPP-like,2551.083418,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,
M24,Aegir_M24_B7,LKKEPBNP_44.region001,RiPP,microviridin,205.2278403,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,
M24,Aegir_M24_B7,LKKEPBNP_92.region001,RiPP,lanthipeptide,95.46850114,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,
M24,Aegir_M24_B70,KKGMONJA_202.region001,NRP,NRP generic,1491.494766,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,GCA-2733885,
M24,Aegir_M24_B70,KKGMONJA_90.region001,RiPP,RiPP-like,522.0231682,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,GCA-2733885,
M24,Aegir_M24_B70,KKGMONJA_205.region001,Other,arylpolyene,157.080502,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,GCA-2733885,
M24,Aegir_M24_B72,AMCEHCFD_148.region001,RiPP,microviridin,415.4030516,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,
M24,Aegir_M24_B72,AMCEHCFD_131.region001,RiPP,lanthipeptide,87.63390908,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,
M24,Aegir_M24_B72,AMCEHCFD_175.region001,Other,resorcinol,67.86974894,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,
M24,Aegir_M24_B72,AMCEHCFD_70.region001,Hybrid,arylpolyene:resorcinol,54.51659993,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,
M24,Aegir_M24_B72,AMCEHCFD_85.region001,Polyketide,T3PKS,51.20236475,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,
M24,Aegir_M24_B72,AMCEHCFD_106.region001,RiPP,lanthipeptide,21.25221543,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,
M24,Aegir_M24_B72,AMCEHCFD_164.region001,NRP,NRP generic,11.48268598,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,
M24,Aegir_M24_B75,NCJJNLBN_70.region001,NRP,NRP generic,119402.4044,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,
M24,Aegir_M24_B75,NCJJNLBN_36.region001,Other,arylpolyene,4733.649741,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,
M24,Aegir_M24_B75,NCJJNLBN_41.region001,RiPP,RiPP-like,3962.98924,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,
M24,Aegir_M24_B75,NCJJNLBN_60.region001,Terpene,Terpene generic,3276.640994,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,
M24,Aegir_M24_B75,NCJJNLBN_17.region001,NRP,NRP generic,2044.281615,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,
M24,Aegir_M24_B75,NCJJNLBN_5.region001,Other,hserlactone,500.9889978,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,
M24,Aegir_M24_B75,NCJJNLBN_30.region001,Other,arylpolyene,441.024543,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,
M24,Aegir_M24_B76,HJAPGIAM_128.region001,Terpene,Terpene generic,114.6562514,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,
M24,Aegir_M24_B76,HJAPGIAM_132.region001,Other,hserlactone,86.19682249,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,
M24,Aegir_M24_B77,OLKFNNDA_53.region001,RiPP,RRE-containing,438.3963092,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,SZUA-451,
M24,Aegir_M24_B77,OLKFNNDA_23.region001,NRP,NRPS-like,325.7585797,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,SZUA-451,
M24,Aegir_M24_B78,PPLLNGHE_239.region001,Other,arylpolyene,46.52978823,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halieaceae,JBALVT01,
M24,Aegir_M24_B8,ONKHKEEE_33.region001,Other,resorcinol,383.4811895,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,UBA1140,
M24,Aegir_M24_B8,ONKHKEEE_51.region001,Other,arylpolyene,204.0285972,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,UBA1140,
M24,Aegir_M24_B8,ONKHKEEE_135.region001,Other,arylpolyene,33.79112369,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,UBA1140,
M24,Aegir_M24_B80,BELJCDKK_27.region001,Other,betalactone,12.32297974,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Poriferisodalaceae,DRKF01,
M24,Aegir_M24_B86,FFEJCLNM_56.region001,Polyketide,T3PKS,531.9981332,Bacteria,Planctomycetota,JADGBV01,JADGBV01,JADGBV01,,
M24,Aegir_M24_B86,FFEJCLNM_237.region001,Other,acyl_amino_acids,226.6767269,Bacteria,Planctomycetota,JADGBV01,JADGBV01,JADGBV01,,
M24,Aegir_M24_B86,FFEJCLNM_332.region001,Other,acyl_amino_acids,102.7426207,Bacteria,Planctomycetota,JADGBV01,JADGBV01,JADGBV01,,
M24,Aegir_M24_B86,FFEJCLNM_419.region001,Other,acyl_amino_acids,83.32764187,Bacteria,Planctomycetota,JADGBV01,JADGBV01,JADGBV01,,
M24,Aegir_M24_B86,FFEJCLNM_44.region001,RiPP,RRE-containing,66.72476586,Bacteria,Planctomycetota,JADGBV01,JADGBV01,JADGBV01,,
M24,Aegir_M24_B88,OBCMDBHP_2.region001,RiPP,RRE-containing,46.6122716,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,
M24,Aegir_M24_B89,HNEPLFDD_177.region001,Other,hydrogen-cyanide,82.84148293,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Sedimenticolaceae,Thiolapillus,
M24,Aegir_M24_B90,PPCPAABK_16.region001,RiPP,RRE-containing,35.05067928,Bacteria,Pseudomonadota,Gammaproteobacteria,UBA6429,Thiohalophilaceae,SZUA-37,
M24,Aegir_M24_B91,BKBAFHKC_15.region001,RiPP,RiPP-like,3241.040273,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,BB2,
M24,Aegir_M24_B91,BKBAFHKC_13.region001,RiPP,RiPP-like,3140.220459,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,BB2,
M24,Aegir_M24_B91,BKBAFHKC_20.region001,Terpene,Terpene generic,1463.75333,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,BB2,
M24,Aegir_M24_B93,BHGFJBKP_40.region001,RiPP,RiPP-like,65.47556108,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,S010-25,
M24,Aegir_M24_B94,FBDIKMAG_31.region001,RiPP,RiPP-like,236.492841,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae,JAHRVQ01,
M24,Aegir_M24_B94,FBDIKMAG_101.region001,Polyketide,hglE-KS,84.84904126,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae,JAHRVQ01,
M24,Aegir_M24_B95,CEPJKJNM_37.region001,Other,arylpolyene,1694.451967,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,
M24,Aegir_M24_B95,CEPJKJNM_69.region001,RiPP,RiPP-like,299.1368717,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,
