Metagenome,MAG,BGC counts,Domain,Phylum,Class,Order,Family,Genus,Species,complete annotation
M24,Aegir_M24_B28,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomarinum,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomarinum;s__
M24,Aegir_M24_B29,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,GCA-002770795,DRNA01,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__GCA-002770795;g__DRNA01;s__
M24,Aegir_M24_B3,6,Bacteria,Myxococcota,UBA9042,PHBI01,CALCNF01,0,0,d__Bacteria;p__Myxococcota;c__UBA9042;o__PHBI01;f__CALCNF01;g__;s__
M24,Aegir_M24_B30,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Putridiphycobacter,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Putridiphycobacter;s__
M24,Aegir_M24_B31,6,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Kangiellaceae;g__GCA-002733465;s__
M24,Aegir_M24_B32,3,Bacteria,Chloroflexota,Anaerolineae,Promineifilales,Promineifilaceae,JAJRTP01,0,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineifilales;f__Promineifilaceae;g__JAJRTP01;s__
M24,Aegir_M24_B33,0,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,JAKISE01,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__JAKISE01;s__
M24,Aegir_M24_B34,1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Devosiaceae,DROE01,0,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__DROE01;s__
M24,Aegir_M24_B35,2,Bacteria,Pseudomonadota,Gammaproteobacteria,UWMA-0217,UWMA-0217,JALSHZ01,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UWMA-0217;f__UWMA-0217;g__JALSHZ01;s__
M24,Aegir_M24_B36,7,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,0,d__Bacteria;p__Planctomycetota;c__UBA11346;o__UBA11346;f__UBA11346;g__JANQLF01;s__
M24,Aegir_M24_B37,2,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,UBA6168,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA6168;s__
M24,Aegir_M24_B38,5,Bacteria,Planctomycetota,UBA1135,UBA2386,UBA2386,0,0,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA2386;f__UBA2386;g__;s__
M24,Aegir_M24_B39,8,Bacteria,Verrucomicrobiota,Kiritimatiellia,UBA8416,0,0,0,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__UBA8416;f__;g__;s__
M24,Aegir_M24_B4,2,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,Sulfurovum sp030949325,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__Sulfurovum sp030949325
M24,Aegir_M24_B40,1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,JAHDFW01,JAHDFW01,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__JAHDFW01;g__JAHDFW01;s__
M24,Aegir_M24_B41,1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,S010-17,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__S010-17;s__
M24,Aegir_M24_B42,6,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicella,0,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Oceanicella;s__
M24,Aegir_M24_B43,2,Bacteria,Pseudomonadota,Gammaproteobacteria,S144-34,S144-34,S144-34,S144-34 sp026989495,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__S144-34;f__S144-34;g__S144-34;s__S144-34 sp026989495
M24,Aegir_M24_B44,6,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__QPIN01;s__
M24,Aegir_M24_B45,11,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,0,d__Bacteria;p__Myxococcota;c__Bradymonadia;o__Bradymonadales;f__Bradymonadaceae;g__CALJNB01;s__
M24,Aegir_M24_B46,1,Bacteria,Bacteroidota_A,Kapaibacteriia,Kapaibacteriales,UBA2268,0,0,d__Bacteria;p__Bacteroidota_A;c__Kapaibacteriia;o__Kapaibacteriales;f__UBA2268;g__;s__
M24,Aegir_M24_B47,0,Bacteria,Patescibacteriota,Minisyncoccia,UBA9973,UBA918,OLB19,0,d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA9973;f__UBA918;g__OLB19;s__
M24,Aegir_M24_B48,0,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,S012-47,S012-47,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__S012-47;g__S012-47;s__
M24,Aegir_M24_B49,5,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-152,SZUA-152,SZUA-152,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-152;f__SZUA-152;g__SZUA-152;s__
M24,Aegir_M24_B5,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__QPIN01;s__
M24,Aegir_M24_B50,2,Bacteria,Pseudomonadota,Gammaproteobacteria,GCA-001735895,GCA-001735895,0,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GCA-001735895;f__GCA-001735895;g__;s__
M24,Aegir_M24_B51,3,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,0,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__
M24,Aegir_M24_B52,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Colwellia,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Colwellia;s__
M24,Aegir_M24_B53,5,Bacteria,Bacteroidota_A,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,GCA-2746605,0,d__Bacteria;p__Bacteroidota_A;c__Ignavibacteria;o__Ignavibacteriales;f__Melioribacteraceae;g__GCA-2746605;s__
M24,Aegir_M24_B54,9,Bacteria,Myxococcota,UBA727,UBA727,0,0,0,d__Bacteria;p__Myxococcota;c__UBA727;o__UBA727;f__;g__;s__
M24,Aegir_M24_B55,3,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NORP23,0,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NORP23;s__
M24,Aegir_M24_B56,1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,S012-113,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__S012-113;s__
M24,Aegir_M24_B57,5,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,DEV007,Arctic95D-9,0,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__DEV007;g__Arctic95D-9;s__
M24,Aegir_M24_B58,6,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,WTBX01 sp030949405,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__WTBX01;s__WTBX01 sp030949405
M24,Aegir_M24_B59,4,Bacteria,Calditrichota,Calditrichia,Calditrichales,J004,JABFGF01,0,d__Bacteria;p__Calditrichota;c__Calditrichia;o__Calditrichales;f__J004;g__JABFGF01;s__
M24,Aegir_M24_B6,2,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,CAJQQY01,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__CAJQQY01;s__
M24,Aegir_M24_B60,5,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NVTR01,0,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NVTR01;s__
M24,Aegir_M24_B61,3,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,0,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Bernardetiaceae;g__;s__
M24,Aegir_M24_B62,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,QPIN01 sp026988195,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__QPIN01;s__QPIN01 sp026988195
M24,Aegir_M24_B63,3,Bacteria,Pseudomonadota,Gammaproteobacteria,UBA6429,Thiohalophilaceae,JALSSV01,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA6429;f__Thiohalophilaceae;g__JALSSV01;s__
M24,Aegir_M24_B64,2,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,JABACD01,0,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__JABACD01;s__
M24,Aegir_M24_B65,1,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,UBA1924,JAUIES01,0,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__JAUIES01;s__
M24,Aegir_M24_B66,5,Bacteria,Bdellovibrionota_B,Oligoflexia,Oligoflexales,JAWKNZ01,JAWKNZ01,0,d__Bacteria;p__Bdellovibrionota_B;c__Oligoflexia;o__Oligoflexales;f__JAWKNZ01;g__JAWKNZ01;s__
M24,Aegir_M24_B67,5,Bacteria,Myxococcota_A,UBA9160,UBA9160,UBA4427,UBA4427,0,d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__UBA4427;g__UBA4427;s__
M24,Aegir_M24_B68,2,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,0,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__
M24,Aegir_M24_B69,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Maricaulaceae,Robiginitomaculum_A,0,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Robiginitomaculum_A;s__
M24,Aegir_M24_B7,2,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Crocinitomix;s__
M24,Aegir_M24_B70,3,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,GCA-2733885,0,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__GCA-2733885;s__
M24,Aegir_M24_B71,5,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Thalassoglobus,0,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Thalassoglobus;s__
M24,Aegir_M24_B72,14,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Crocinitomix;s__
M24,Aegir_M24_B73,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,HyVt-477,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__HyVt-477;s__
M24,Aegir_M24_B74,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,UBA1140,0,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__UBA1140;s__
M24,Aegir_M24_B75,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__WTBX01;s__
M24,Aegir_M24_B76,3,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,0,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Profundibacter;s__
