Metagenome,MAG,BGC,class,Predicted product,Length (kb),Number of genes,Domain,Phylum,Class,Order,Family,Genus,Species
M24,Aegir_M24_B11,CKJGPINA_108.region001,NRP,NRPS-like,2.97,4,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275
M24,Aegir_M24_B11,CKJGPINA_158.region001,Other,betalactone,14.52,14,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275
M24,Aegir_M24_B11,CKJGPINA_16.region001,Terpene,Terpene generic,11,6,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275
M24,Aegir_M24_B11,CKJGPINA_176.region001,RiPP,RiPP-like,9.22,11,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275
M24,Aegir_M24_B11,CKJGPINA_207.region001,RiPP,redox-cofactor,4.43,5,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275
M24,Aegir_M24_B11,CKJGPINA_237.region001,Other,phosphonate,15.6,15,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275
M24,Aegir_M24_B11,CKJGPINA_268.region001,Other,resorcinol,16.38,18,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275
M24,Aegir_M24_B11,CKJGPINA_280.region001,RiPP,RiPP-like,3.06,4,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275
M24,Aegir_M24_B110,NLMDFIEA_168.region001,Terpene,Terpene generic,20.98,21,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,0
M24,Aegir_M24_B110,NLMDFIEA_175.region001,RiPP,RiPP-like,9.18,12,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,0
M24,Aegir_M24_B110,NLMDFIEA_181.region001,RiPP,RiPP-like,10.74,6,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,0
M24,Aegir_M24_B110,NLMDFIEA_392.region001,RiPP,RiPP-like,10.83,11,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,0
M24,Aegir_M24_B110,NLMDFIEA_9.region001,NRP,NRPS-like,30.43,23,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,0
M24,Aegir_M24_B111,PIANMFAJ_110.region001,RiPP,RiPP-like,10.56,13,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0
M24,Aegir_M24_B111,PIANMFAJ_48.region001,RiPP,RiPP-like,11.76,12,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0
M24,Aegir_M24_B112,NCOLKFPD_107.region001,RiPP,RiPP-like,9.27,11,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,DRQF01,0
M24,Aegir_M24_B112,NCOLKFPD_346.region001,RiPP,RRE-containing,15.25,12,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,DRQF01,0
M24,Aegir_M24_B112,NCOLKFPD_378.region001,Terpene,Terpene generic,3.67,3,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,DRQF01,0
M24,Aegir_M24_B112,NCOLKFPD_502.region001,Terpene,Terpene generic,7.3,5,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,DRQF01,0
M24,Aegir_M24_B112,NCOLKFPD_716.region001,RiPP,RiPP-like,7.91,6,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,DRQF01,0
M24,Aegir_M24_B113,NEOEDNCB_47.region001,Hybrid,arylpolyene:resorcinol,22.28,24,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,S010-17,0
M24,Aegir_M24_B113,NEOEDNCB_12.region001,Other,arylpolyene,18.94,18,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,S010-17,0
M24,Aegir_M24_B114,GDCPMDGF_12.region001,Terpene,Terpene generic,18.41,15,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Devosiaceae,DROE01,0
M24,Aegir_M24_B114,GDCPMDGF_34.region001,Polyketide,T3PKS,21.69,21,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Devosiaceae,DROE01,0
M24,Aegir_M24_B115,FBCILAEC_199.region001,Other,hserlactone,8.06,11,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,Profundibacter amoris
M24,Aegir_M24_B115,FBCILAEC_254.region001,RiPP,RiPP-like,6.01,8,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,Profundibacter amoris
M24,Aegir_M24_B116,LFICFLKJ_140.region001,RiPP,RiPP-like,11.62,12,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,0
M24,Aegir_M24_B116,LFICFLKJ_159.region001,RiPP,RiPP-like,7.96,8,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,0
M24,Aegir_M24_B117,CAMPJJDL_203.region001,Other,hserlactone,8.6,9,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAAEUB01,0
M24,Aegir_M24_B118,FAKNGFII_126.region001,RiPP,RRE-containing,8.36,9,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,0
M24,Aegir_M24_B118,FAKNGFII_144.region001,Other,resorcinol,10.34,10,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,0
M24,Aegir_M24_B118,FAKNGFII_18.region001,Other,arylpolyene,3.19,3,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,0
M24,Aegir_M24_B118,FAKNGFII_201.region001,Other,arylpolyene,2.98,4,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,0
M24,Aegir_M24_B118,FAKNGFII_274.region001,Terpene,Terpene generic,6.47,6,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,0
M24,Aegir_M24_B118,FAKNGFII_392.region001,Terpene,Terpene generic,4.59,5,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,0
M24,Aegir_M24_B118,FAKNGFII_40.region001,Polyketide,PKS-like,19.5,23,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,0
M24,Aegir_M24_B119,DEJCOLOP_193.region001,Polyketide,T3PKS,9.36,11,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,UBA1924,UBA1924,0
M24,Aegir_M24_B12,AMEDOMHJ_171.region001,NRP,NRPS-like,12.18,15,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0
M24,Aegir_M24_B12,AMEDOMHJ_253.region001,RiPP,RiPP-like,4.62,4,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0
M24,Aegir_M24_B12,AMEDOMHJ_272.region001,NRP,NRP generic,4.54,1,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0
M24,Aegir_M24_B12,AMEDOMHJ_30.region001,Hybrid,NRPS-like:T1PKS,11.75,3,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0
M24,Aegir_M24_B12,AMEDOMHJ_19.region001,RiPP,RiPP-like,7.99,10,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0
M24,Aegir_M24_B122,FDEIFABP_83.region001,RiPP,redox-cofactor,11.91,13,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methyloprofundus,Methyloprofundus sp900128525
M24,Aegir_M24_B122,FDEIFABP_79.region001,RiPP,RiPP-like,10.49,11,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methyloprofundus,Methyloprofundus sp900128525
M24,Aegir_M24_B122,FDEIFABP_48.region001,Terpene,Terpene generic,16.21,13,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methyloprofundus,Methyloprofundus sp900128525
M24,Aegir_M24_B123,FHGAEOEJ_16.region001,Terpene,Terpene generic,18.25,16,Bacteria,Pseudomonadota,Gammaproteobacteria,CAMYNG01,CAMYNG01,JALUTW01,JALUTW01 sp027021685
M24,Aegir_M24_B123,FHGAEOEJ_67.region001,RiPP,RiPP-like,10.87,12,Bacteria,Pseudomonadota,Gammaproteobacteria,CAMYNG01,CAMYNG01,JALUTW01,JALUTW01 sp027021685
M24,Aegir_M24_B123,FHGAEOEJ_73.region001,Other,arylpolyene,38.1,35,Bacteria,Pseudomonadota,Gammaproteobacteria,CAMYNG01,CAMYNG01,JALUTW01,JALUTW01 sp027021685
M24,Aegir_M24_B124,GBGOCJJP_100.region001,Polyketide,T3PKS,41.06,30,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,JBBDIB01,0
M24,Aegir_M24_B124,GBGOCJJP_67.region001,NRP,NRP generic,29.29,21,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,JBBDIB01,0
M24,Aegir_M24_B124,GBGOCJJP_54.region001,NRP,NRP generic,40.67,30,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,JBBDIB01,0
M24,Aegir_M24_B124,GBGOCJJP_100.region002,Other,resorcinol,23.71,23,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,JBBDIB01,0
M24,Aegir_M24_B124,GBGOCJJP_112.region001,Terpene,Terpene generic,21.87,15,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,JBBDIB01,0
M24,Aegir_M24_B124,GBGOCJJP_84.region001,RiPP,RiPP-like,10.89,7,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,JBBDIB01,0
M24,Aegir_M24_B125,PPEFOLCN_228.region001,RiPP,RiPP-like,5.55,3,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,S139-23,0
M24,Aegir_M24_B125,PPEFOLCN_30.region001,Terpene,Terpene generic,16.7,12,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,S139-23,0
M24,Aegir_M24_B125,PPEFOLCN_686.region001,RiPP,RRE-containing,3.59,4,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,S139-23,0
M24,Aegir_M24_B125,PPEFOLCN_727.region001,RiPP,RiPP-like,9.54,9,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,S139-23,0
M24,Aegir_M24_B126,IGJKKHJM_13.region001,Other,hserlactone,20.64,21,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAJRUE01,0
M24,Aegir_M24_B126,IGJKKHJM_35.region001,Other,hserlactone,20.61,23,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAJRUE01,0
M24,Aegir_M24_B126,IGJKKHJM_5.region001,Other,betalactone,27.34,26,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAJRUE01,0
M24,Aegir_M24_B126,IGJKKHJM_10.region001,Terpene,Terpene generic,20.76,23,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAJRUE01,0
M24,Aegir_M24_B127,DHLFLHGA_165.region001,Other,acyl_amino_acids,6.73,7,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_182.region001,RiPP,RRE-containing,5.62,5,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_185.region001,Other,acyl_amino_acids,2.84,3,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_237.region001,Polyketide,T1PKS,8.95,1,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_309.region001,NRP,NRP generic,2.48,1,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_372.region001,Other,arylpolyene,3.53,5,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_497.region001,Polyketide,T3PKS,19,17,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_532.region001,Other,acyl_amino_acids,4.5,3,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_556.region001,NRP,NRP generic,5.38,1,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_603.region001,RiPP,RiPP-like,2.61,3,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_651.region001,Other,acyl_amino_acids,14.78,12,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_661.region001,Other,acyl_amino_acids,6.22,4,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_752.region001,Other,acyl_amino_acids,3.71,3,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_798.region001,Other,acyl_amino_acids,4.03,5,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_872.region001,Other,acyl_amino_acids,2.47,2,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_94.region001,Other,acyl_amino_acids,4.57,4,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_374.region001,Other,acyl_amino_acids,3.26,3,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_342.region001,Other,acyl_amino_acids,2.37,1,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_91.region001,Other,acyl_amino_acids,2.1,3,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_910.region001,Other,acyl_amino_acids,2.33,1,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_921.region001,Other,acyl_amino_acids,2.25,1,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B128,FDOIAPJH_117.region001,Polyketide,hglE-KS,36.51,26,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae,JAHRVQ01,0
M24,Aegir_M24_B128,FDOIAPJH_52.region001,RiPP,RiPP-like,10.87,9,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae,JAHRVQ01,0
M24,Aegir_M24_B129,NPEJHEFM_93.region001,Other,arylpolyene,8.96,8,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Vicingaceae,GCA-002793235,0
M24,Aegir_M24_B129,NPEJHEFM_91.region001,Hybrid,arylpolyene:resorcinol,28.4,34,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Vicingaceae,GCA-002793235,0
M24,Aegir_M24_B13,HMPFCKPD_12.region001,RiPP,RiPP-like,5.89,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,0,0
M24,Aegir_M24_B13,HMPFCKPD_81.region001,Terpene,Terpene generic,15.04,12,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,0,0
M24,Aegir_M24_B13,HMPFCKPD_40.region001,NRP,NRPS-like,30.48,25,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,0,0
M24,Aegir_M24_B130,KOFGBFOK_7.region001,Other,arylpolyene,39.35,37,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
M24,Aegir_M24_B130,KOFGBFOK_136.region001,Other,hydrogen-cyanide,12.8,11,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
M24,Aegir_M24_B130,KOFGBFOK_34.region001,NRP,NRPS-like,33.17,24,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
M24,Aegir_M24_B130,KOFGBFOK_123.region001,Other,betalactone,32.33,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
M24,Aegir_M24_B130,KOFGBFOK_56.region001,RiPP,redox-cofactor,22.12,17,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
M24,Aegir_M24_B130,KOFGBFOK_139.region001,RiPP,RiPP-like,10.85,12,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
M24,Aegir_M24_B130,KOFGBFOK_5.region001,Terpene,Terpene generic,19.99,18,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
M24,Aegir_M24_B131,CIIHKDJI_39.region001,RiPP,redox-cofactor,10.45,11,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,0
M24,Aegir_M24_B131,CIIHKDJI_51.region001,RiPP,RiPP-like,10.85,10,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,0
M24,Aegir_M24_B131,CIIHKDJI_89.region001,Terpene,Terpene generic,3.7,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,0
M24,Aegir_M24_B132,BKNNPPBI_130.region001,Hybrid,NRPS-like:T1PKS,26.59,20,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,JARGPD01,0
M24,Aegir_M24_B132,BKNNPPBI_8.region001,Hybrid,NRPS:T1PKS,39.18,24,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,JARGPD01,0
M24,Aegir_M24_B14,ANCDLGFE_20.region001,NRP,NRP generic,44.76,35,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae,GCA-002726655,0
M24,Aegir_M24_B14,ANCDLGFE_6.region001,Polyketide,hglE-KS,42.41,24,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae,GCA-002726655,0
M24,Aegir_M24_B15,LJPEBJAM_258.region001,NRP,NRPS-like,34.24,26,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,GCA-2862085,0
M24,Aegir_M24_B15,LJPEBJAM_68.region001,RiPP,thiopeptide,18.67,16,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,GCA-2862085,0
M24,Aegir_M24_B15,LJPEBJAM_252.region001,Polyketide,T3PKS,25.69,18,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,GCA-2862085,0
M24,Aegir_M24_B16,BBEMPNNE_582.region001,Polyketide,T3PKS,2.15,3,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubinisphaera,0
M24,Aegir_M24_B17,JECBHHKC_10.region001,RiPP,RiPP-like,10.93,11,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,0,0
M24,Aegir_M24_B18,BHALFHGL_116.region001,Other,hserlactone,10.74,10,Bacteria,Pseudomonadota,Gammaproteobacteria,DSM-19610,DSM-19610,Thiogranum,0
M24,Aegir_M24_B18,BHALFHGL_227.region001,Terpene,Terpene generic,12.39,12,Bacteria,Pseudomonadota,Gammaproteobacteria,DSM-19610,DSM-19610,Thiogranum,0
M24,Aegir_M24_B18,BHALFHGL_65.region001,RiPP,RiPP-like,8.62,11,Bacteria,Pseudomonadota,Gammaproteobacteria,DSM-19610,DSM-19610,Thiogranum,0
M24,Aegir_M24_B19,FPDLEAHF_158.region001,Other,acyl_amino_acids,4.55,4,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,0,0
M24,Aegir_M24_B19,FPDLEAHF_19.region001,Other,acyl_amino_acids,4.03,3,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,0,0
M24,Aegir_M24_B19,FPDLEAHF_54.region001,RiPP,RiPP-like,7.23,10,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,0,0
