genome_ID,BGC counts,Domain,Phylum,Class,Order,Family,Genus,Species
Aegir_M24_B12,5,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,
Aegir_M24_B120,0,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,JALSTN01,
Aegir_M24_B121,0,Bacteria,Patescibacteria,Paceibacteria,UBA9973,UBA918,OLB19,
Aegir_M24_B122,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methyloprofundus,Methyloprofundus sp900128525
Aegir_M24_B123,3,Bacteria,Pseudomonadota,Gammaproteobacteria,UBA6429,UBA6429,JALUTW01,JALUTW01 sp027021685
Aegir_M24_B124,6,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,,
Aegir_M24_B125,4,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,S139-23,
Aegir_M24_B126,4,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAJRUE01,
Aegir_M24_B127,21,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,
Aegir_M24_B128,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae_A,JAHRVQ01,
Aegir_M24_B129,2,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Vicingaceae,GCA-002793235,
Aegir_M24_B13,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,,
Aegir_M24_B130,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
Aegir_M24_B131,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,
Aegir_M24_B132,2,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,JARGPD01,
Aegir_M24_B133,0,Bacteria,Planctomycetota,JADGBV01,JADGBV01,JADGBV01,JADGBV01,
Aegir_M24_B14,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae_A,GCA-002726655,
Aegir_M24_B15,3,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,GCA-2862085,
Aegir_M24_B16,1,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubinisphaera,
Aegir_M24_B17,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,,
Aegir_M24_B18,3,Bacteria,Pseudomonadota,Gammaproteobacteria,DSM-19610,DSM-19610,Thiogranum,
Aegir_M24_B19,4,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,,
Aegir_M24_B2,9,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,,
Aegir_M24_B20,4,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,
Aegir_M24_B21,6,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,SZUA-100,
Aegir_M24_B22,5,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,
Aegir_M24_B23,2,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amylibacter,Amylibacter sp024280735
Aegir_M24_B24,3,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-152,SZUA-152,SZUA-152,
Aegir_M24_B25,4,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-152,SZUA-152,SZUA-152,
Aegir_M24_B26,2,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-002733185,
Aegir_M24_B27,3,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,,
Aegir_M24_B28,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomarinum,
Aegir_M24_B29,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,GCA-002770795,DRNA01,
Aegir_M24_B3,6,Bacteria,Myxococcota,UBA9042,PHBI01,CALCNF01,,
Aegir_M24_B30,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Putridiphycobacter,
Aegir_M24_B31,6,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,
Aegir_M24_B32,3,Bacteria,Chloroflexota,Anaerolineae,Promineifilales,Promineifilaceae,JAJRTP01,
Aegir_M24_B33,0,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,JAKISE01,
Aegir_M24_B34,1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Devosiaceae,DROE01,
Aegir_M24_B35,2,Bacteria,Pseudomonadota,Gammaproteobacteria,UWMA-0217,UWMA-0217,JALSHZ01,
Aegir_M24_B36,7,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,
Aegir_M24_B37,2,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,UBA6168,
Aegir_M24_B38,5,Bacteria,Planctomycetota,UBA1135,UBA2386,UBA2386,,
Aegir_M24_B39,8,Bacteria,Verrucomicrobiota,Kiritimatiellia,UBA8416,,,
Aegir_M24_B4,2,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,Sulfurovum sp030949325
Aegir_M24_B40,1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,JAHDFW01,JAHDFW01,
Aegir_M24_B41,1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,S010-17,
Aegir_M24_B42,6,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicella,
Aegir_M24_B43,2,Bacteria,Pseudomonadota,Gammaproteobacteria,S144-34,S144-34,S144-34,S144-34 sp026989495
Aegir_M24_B44,6,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,
Aegir_M24_B45,11,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,
Aegir_M24_B46,1,Bacteria,Bacteroidota,Kapaibacteriia,Kapaibacteriales,UBA2268,,
Aegir_M24_B47,0,Bacteria,Patescibacteria,Paceibacteria,UBA9973,UBA918,OLB19,
Aegir_M24_B48,0,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,S012-47,S012-47,
Aegir_M24_B49,5,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-152,SZUA-152,SZUA-152,
Aegir_M24_B5,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,
Aegir_M24_B50,2,Bacteria,Pseudomonadota,Gammaproteobacteria,GCA-001735895,GCA-001735895,,
Aegir_M24_B51,3,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,,
Aegir_M24_B52,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Colwellia,
Aegir_M24_B53,5,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,GCA-2746605,
Aegir_M24_B54,9,Bacteria,Myxococcota,UBA727,UBA727,,,
Aegir_M24_B55,3,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA3077,
Aegir_M24_B56,1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,S012-113,
Aegir_M24_B57,5,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,Arctic95D-9,
Aegir_M24_B58,6,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,WTBX01 sp030949405
Aegir_M24_B59,4,Bacteria,Calditrichota,Calditrichia,Calditrichales,J004,JABFGF01,
Aegir_M24_B6,2,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,CAJQQY01,
Aegir_M24_B60,5,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NVTR01,
Aegir_M24_B61,3,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,,
Aegir_M24_B62,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,QPIN01 sp026988195
Aegir_M24_B63,3,Bacteria,Pseudomonadota,Gammaproteobacteria,UBA6429,UBA6429,JALSSV01,
Aegir_M24_B64,2,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,JABACD01,
Aegir_M24_B65,1,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,UBA1924,JAUIES01,
Aegir_M24_B66,5,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,,,
Aegir_M24_B67,5,Bacteria,Myxococcota_A,UBA9160,UBA9160,UBA4427,UBA4427,
Aegir_M24_B68,2,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,
Aegir_M24_B69,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Maricaulaceae,Robiginitomaculum_A,
Aegir_M24_B7,2,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,
Aegir_M24_B70,3,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,GCA-2733885,
Aegir_M24_B71,5,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Thalassoglobus,
Aegir_M24_B72,14,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,
Aegir_M24_B73,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,HyVt-477,
Aegir_M24_B74,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,UBA1140,
Aegir_M24_B75,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,
Aegir_M24_B76,3,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,
Aegir_M24_B77,2,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,SZUA-451,
Aegir_M24_B78,5,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halieaceae,Halioglobus,
Aegir_M24_B79,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Maricaulaceae,Robiginitomaculum_A,Robiginitomaculum_A sp024278915
Aegir_M24_B8,4,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,UBA1140,
Aegir_M24_B80,4,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Poriferisodaliceae,DRKF01,
Aegir_M24_B81,0,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,
Aegir_M24_B82,0,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,
Aegir_M24_B83,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,QNZT01,JANTGR01,
Aegir_M24_B84,5,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,
Aegir_M24_B85,2,Bacteria,Chloroflexota,Anaerolineae,Caldilineales,Caldilineaceae,JAJRVT01,
Aegir_M24_B86,15,Bacteria,Planctomycetota,JADGBV01,JADGBV01,JADGBV01,,
Aegir_M24_B87,2,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,
Aegir_M24_B88,3,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,
Aegir_M24_B89,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Sedimenticolaceae,Thiolapillus,
Aegir_M24_B9,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiomicrospirales,Thiomicrospiraceae,Thiomicrorhabdus,
Aegir_M24_B90,6,Bacteria,Pseudomonadota,Gammaproteobacteria,UBA6429,UBA6429,SZUA-37,
Aegir_M24_B91,3,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,BB2,
Aegir_M24_B92,3,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,PHOS-HE28,,
Aegir_M24_B93,3,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,S010-25,
Aegir_M24_B94,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae_A,JAHRVQ01,
Aegir_M24_B95,3,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,
Aegir_M24_B96,5,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,JAGLBW01,
Aegir_M24_B97,5,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA3077,
Aegir_M24_B98,4,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAAEUB01,
Aegir_M24_B99,5,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NVQY01,
Aegir_M25_B1,2,Bacteria,Pseudomonadota,Alphaproteobacteria,JAGPBS01,,,
Aegir_M25_B10,4,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA3077,
Aegir_M25_B100,1,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,QNZC01,
Aegir_M25_B101,1,Bacteria,WOR-3,Hydrothermia,B15-G9,WFZT01,WFZT01,
Aegir_M25_B102,6,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
Aegir_M25_B103,4,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAAEUB01,
Aegir_M25_B104,1,Bacteria,WOR-3,Hydrothermia,UBA1063,CAJXJZ01,CAJXJZ01,
Aegir_M25_B105,2,Bacteria,Chloroflexota,Anaerolineae,Aggregatilineales,Aggregatilineaceae,JALSSH01,
Aegir_M25_B106,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,
Aegir_M25_B107,0,Archaea,Thermoproteota,Korarchaeia,Korarchaeales,Korarchaeaceae,JAOZFG01,JAOZFG01 sp027491435
Aegir_M25_B108,5,Bacteria,Pseudomonadota,Gammaproteobacteria,J113,J113,J113,
Aegir_M25_B109,1,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Desulfurococcaceae,JALVIT01,
Aegir_M25_B11,2,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Poriferisodaliceae,DRKF01,
Aegir_M25_B110,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella_A,
Aegir_M25_B111,0,Archaea,Iainarchaeota,Iainarchaeia,JAADDC01,JAADDC01,,
Aegir_M25_B112,0,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,JdFR-41,
Aegir_M25_B113,2,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Hydrogenivirga,
Aegir_M25_B114,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Maricaulaceae,Robiginitomaculum_A,
Aegir_M25_B115,1,Bacteria,Acidobacteriota,Holophagae,Thermotomaculales,Thermotomaculaceae,Thermotomaculum,
Aegir_M25_B116,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,
Aegir_M25_B117,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,WANQ01,JALWGO01,
Aegir_M25_B118,0,Bacteria,Patescibacteria,WWE3,2-01-FULL-39-13,,,
Aegir_M25_B119,0,Archaea,Iainarchaeota,Iainarchaeia,JAADDC01,JAADDC01,,
Aegir_M25_B12,2,Bacteria,Myxococcota,UBA796,UBA796,UBA2385,S143-5,
Aegir_M25_B120,0,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,Bilamarchaeaceae,,
Aegir_M25_B121,2,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,S140-46,S140-46,
Aegir_M25_B122,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylothermaceae,Methylohalobius,
Aegir_M25_B123,1,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Desulfurococcaceae,WAON01,
Aegir_M25_B124,3,Bacteria,Chloroflexota,Anaerolineae,J102,J102,M2005,
Aegir_M25_B125,6,Bacteria,Chloroflexota,Anaerolineae,4572-78,J111,J111,
Aegir_M25_B126,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,S143-33,,
Aegir_M25_B127,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia sp913056305
Aegir_M25_B128,1,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,,
Aegir_M25_B129,1,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Hydrogenothermus,
Aegir_M25_B13,7,Bacteria,Myxococcota,UBA796,UBA796,,,
Aegir_M25_B130,2,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Salibacteraceae,CAJXZP01,
Aegir_M25_B131,4,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Hydrogenothermus,
Aegir_M25_B132,1,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,NBVN01,WAOK01,
Aegir_M25_B133,1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,CAJJDF01,CAJJDF01,
Aegir_M25_B134,3,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,,,
Aegir_M25_B135,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,,,
Aegir_M25_B136,1,Bacteria,Pseudomonadota,Alphaproteobacteria,Geminicoccales,Geminicoccaceae,HRBIN39,
Aegir_M25_B137,1,Bacteria,DRYD01,DRYD01,,,,
Aegir_M25_B138,3,Bacteria,Pseudomonadota,Gammaproteobacteria,S140-43,S140-43,S140-43,
Aegir_M25_B139,2,Bacteria,Pseudomonadota,Gammaproteobacteria,J048,J048,J048,
Aegir_M25_B14,6,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,JAUXCJ01,
Aegir_M25_B140,1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,BB10,
Aegir_M25_B141,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,,
Aegir_M25_B142,1,Bacteria,Chloroflexota,Anaerolineae,4572-78,4572-78,JANTHQ01,
Aegir_M25_B143,0,Archaea,Thermoproteota,JANJXX01,Panguiarchaeales,Panguiarchaeaceae,JAHKLH01,
Aegir_M25_B144,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Cocleimonas,
Aegir_M25_B145,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Hydrogenimonadaceae,Hydrogenimonas,
Aegir_M25_B146,1,Archaea,Nanoarchaeota,Nanoarchaeia,Nanoarchaeales,,,
Aegir_M25_B147,2,Archaea,Thermoproteota,Korarchaeia,Korarchaeales,Korarchaeaceae,DRBY01,DRBY01 sp027491415
Aegir_M25_B148,0,Bacteria,DYJV01,DYJV01,DYJV01,JALVYZ01,JALVYZ01,
Aegir_M25_B149,0,Archaea,Nanoarchaeota,Nanoarchaeia,Nanoarchaeales,Nanopusillaceae,,
Aegir_M25_B15,8,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,,
Aegir_M25_B150,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Vicingaceae,UBA852,
Aegir_M25_B151,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,JALSNP01,
Aegir_M25_B152,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,,
Aegir_M25_B153,6,Bacteria,Myxococcota,UBA796,UBA796,GCA-2862545,,
Aegir_M25_B154,3,Bacteria,Bacteroidota,Kapaibacteriia,Kapaibacteriales,UBA2268,ChocPot-Mid,
Aegir_M25_B155,2,Bacteria,WOR-3,Hydrothermia,,,,
Aegir_M25_B156,0,Bacteria,Atribacterota,JALVIU01,JALVIU01,JALVIU01,JALVIU01,
Aegir_M25_B157,2,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfohalobiaceae,,
Aegir_M25_B158,0,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,DRMV01,DUEP01,
Aegir_M25_B159,0,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,,
Aegir_M25_B16,1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,JALTDM01,JALTDM01,
Aegir_M25_B160,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,Hyperthermus,
Aegir_M25_B161,0,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,UBA1924,UBA1924,
Aegir_M25_B162,0,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,DRMV01,DRMV01,
Aegir_M25_B163,1,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Hydrogenothermus,
Aegir_M25_B164,1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitrosophilus_A,
Aegir_M25_B165,5,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,GCA-2746605,
Aegir_M25_B166,0,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,DRMV01,S139-71,
Aegir_M25_B167,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,SZUA-545,JAOXRY01,
Aegir_M25_B168,0,Bacteria,JALSQH01,JALSQH01,,,,
Aegir_M25_B169,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,SZUA-36,SZUA-51,
Aegir_M25_B17,2,Bacteria,Desulfobacterota,DSM-4660,Desulfatiglandales,JALVZP01,,
Aegir_M25_B170,3,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,S010-17,
Aegir_M25_B171,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methyloprofundus,Methyloprofundus sp900128525
Aegir_M25_B172,1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NBLH01,NBLH01,
Aegir_M25_B173,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,
Aegir_M25_B174,2,Bacteria,Myxococcota,SURF-8,SURF-8,,,
Aegir_M25_B175,0,Bacteria,DYJV01,DYJV01,DYJV01,JALVYZ01,JALVYZ01,
Aegir_M25_B176,0,Archaea,Thermoplasmatota,Thermoplasmata,WALJ01,WALJ01,WALJ01,
Aegir_M25_B177,0,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,,,
Aegir_M25_B178,2,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,WAQK01,JALWQH01,
Aegir_M25_B18,1,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,NBVN01,EX4484-204,
Aegir_M25_B180,0,Bacteria,Chloroflexota,Anaerolineae,JAADDB01,JAADDB01,,
Aegir_M25_B181,0,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,DRMV01,JAADEN01,
Aegir_M25_B182,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,QNZT01,QNZT01,
Aegir_M25_B183,0,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,WALA01,,
Aegir_M25_B184,1,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Fervidicoccaceae,,
Aegir_M25_B185,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Pyrodictiaceae,,
Aegir_M25_B186,0,Bacteria,WOR-3,Hydrothermia,B15-G9,WFZT01,WFZT01,
Aegir_M25_B187,4,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Sulfomarinibacteraceae,JAMOVQ01,
Aegir_M25_B188,6,Bacteria,KSB1,UBA2214,JACIZP01,JADDFT01,JADDFT01,
Aegir_M25_B189,2,Bacteria,Cyanobacteriota,Sericytochromatia,UBA7694,UBA7694,JACYMC01,
