source,target,source_metagenome,target_metagenome
AJPDMLKK_83.region001,CIBCBEEE_122.region001,M25,M39
AJPDMLKK_83.region001,NIMPLCKH_23.region001,M25,M38
AJPDMLKK_83.region001,OOCMFLME_363.region001,M25,M24
AKLHHOGF_201.region001,AMEDOMHJ_19.region001,M38,M24
AKLHHOGF_201.region001,BHGFJBKP_77.region001,M38,M24
AKLHHOGF_88.region001,AKLHHOGF_88.region001,M38,M38
AKLHHOGF_99.region001,AKLHHOGF_99.region001,M38,M38
ALBGKPPL_108.region001,LKIEJCHL_180.region001,M33,M24
ALBGKPPL_221.region001,ALBGKPPL_221.region001,M33,M33
ALBGKPPL_355.region001,ALBGKPPL_355.region001,M33,M33
ALBGKPPL_545.region001,ALBGKPPL_545.region001,M33,M33
ALBGKPPL_86.region001,ALBGKPPL_86.region001,M33,M33
ALECFFGP_1.region001,ALECFFGP_1.region001,M42,M42
ALECFFGP_111.region001,ALECFFGP_111.region001,M42,M42
ALECFFGP_13.region001,ALECFFGP_13.region001,M42,M42
ALECFFGP_44.region001,ALECFFGP_44.region001,M42,M42
ALECFFGP_80.region001,ALECFFGP_80.region001,M42,M42
ALEHICHF_185.region001,FNBAOPIA_73.region001,M36,M39
ALEHICHF_27.region001,FNBAOPIA_74.region001,M36,M39
ALJMBEPD_38.region001,ALJMBEPD_38.region001,M25,M25
ALMMFMMH_12.region001,ALMMFMMH_12.region001,M39,M39
AMCEHCFD_106.region001,AMCEHCFD_106.region001,M24,M24
AMCEHCFD_117.region001,AMCEHCFD_117.region001,M24,M24
AMCEHCFD_131.region001,AMCEHCFD_131.region001,M24,M24
AMCEHCFD_148.region001,AMCEHCFD_148.region001,M24,M24
AMCEHCFD_164.region001,AMCEHCFD_164.region001,M24,M24
AMCEHCFD_170.region001,AMCEHCFD_170.region001,M24,M24
AMCEHCFD_175.region001,AMCEHCFD_175.region001,M24,M24
AMCEHCFD_175.region002,AMCEHCFD_175.region002,M24,M24
AMCEHCFD_185.region001,AMCEHCFD_185.region001,M24,M24
AMCEHCFD_61.region001,AMCEHCFD_61.region001,M24,M24
AMCEHCFD_70.region001,AMCEHCFD_70.region001,M24,M24
AMCEHCFD_80.region001,KNGHPBFF_25.region001,M24,M39
AMCEHCFD_85.region001,AMCEHCFD_85.region001,M24,M24
AMCEHCFD_9.region001,AMCEHCFD_9.region001,M24,M24
AMDMEECB_147.region001,AMDMEECB_147.region001,M39,M39
AMDMEECB_4.region001,IIFEMMGK_195.region001,M39,M36
AMDMEECB_4.region001,CHPEPIBD_118.region001,M39,M38
AMEDOMHJ_171.region001,AMEDOMHJ_171.region001,M24,M24
AMEDOMHJ_19.region001,KDPMIDBH_245.region001,M24,M25
AMEDOMHJ_253.region001,AMEDOMHJ_253.region001,M24,M24
AMEDOMHJ_272.region001,AMEDOMHJ_272.region001,M24,M24
AMEDOMHJ_30.region001,AMEDOMHJ_30.region001,M24,M24
AMGCNGIF_16.region001,AMGCNGIF_16.region001,M42,M42
AMGCNGIF_166.region001,AMGCNGIF_166.region001,M42,M42
AMGCNGIF_363.region001,AMGCNGIF_363.region001,M42,M42
AMGCNGIF_619.region001,AMGCNGIF_619.region001,M42,M42
AMGCNGIF_80.region001,AMGCNGIF_80.region001,M42,M42
AMHNPNDE_234.region001,AMHNPNDE_234.region001,M42,M42
AMHNPNDE_269.region001,AMHNPNDE_269.region001,M42,M42
AMHNPNDE_480.region001,AMHNPNDE_480.region001,M42,M42
AMOJAIOH_40.region001,FGBPHCAI_85.region001,M25,M24
AMOJAIOH_40.region001,FAHBNHCL_89.region001,M25,M42
AMOJAIOH_8.region001,FAHBNHCL_112.region001,M25,M42
ANCDLGFE_20.region001,ANCDLGFE_20.region001,M24,M24
ANCDLGFE_6.region001,ANCDLGFE_6.region001,M24,M24
ANFLNNNB_38.region001,ANFLNNNB_38.region001,M26,M26
ANFLNNNB_40.region001,OGCOFHCG_25.region001,M26,M36
ANLNIOLN_177.region001,ANLNIOLN_177.region001,M39,M39
ANLNIOLN_185.region001,ANLNIOLN_185.region001,M39,M39
ANLNIOLN_241.region001,ANLNIOLN_241.region001,M39,M39
AODPIKDL_104.region001,AODPIKDL_104.region001,M36,M36
AODPIKDL_115.region001,AODPIKDL_115.region001,M36,M36
AODPIKDL_123.region001,AODPIKDL_123.region001,M36,M36
AODPIKDL_136.region001,AODPIKDL_136.region001,M36,M36
AODPIKDL_136.region002,AODPIKDL_136.region002,M36,M36
AODPIKDL_155.region001,AODPIKDL_155.region001,M36,M36
AODPIKDL_47.region001,AODPIKDL_47.region001,M36,M36
AODPIKDL_58.region001,AODPIKDL_58.region001,M36,M36
AODPIKDL_6.region001,AODPIKDL_6.region001,M36,M36
AODPIKDL_61.region001,AODPIKDL_61.region001,M36,M36
AOJKHCPH_112.region001,AOJKHCPH_112.region001,M42,M42
AOJKHCPH_87.region001,AOJKHCPH_87.region001,M42,M42
AOJKHCPH_95.region001,AOJKHCPH_95.region001,M42,M42
AOLGDHFD_58.region001,KEIMIPLH_314.region001,M24,M39
AOLGDHFD_58.region001,MNNKNLIN_111.region001,M24,M25
APDGDMMD_266.region001,APDGDMMD_266.region001,M24,M24
APDGDMMD_277.region001,APDGDMMD_277.region001,M24,M24
APDGDMMD_326.region001,APDGDMMD_326.region001,M24,M24
APDGDMMD_66.region001,APDGDMMD_66.region001,M24,M24
APDGDMMD_93.region001,APDGDMMD_93.region001,M24,M24
APGDIBME_12.region001,GNKANFNI_27.region001,M38,M24
APGDIBME_16.region001,GNKANFNI_29.region001,M38,M24
APGDIBME_25.region001,GNKANFNI_31.region001,M38,M24
APGDIBME_27.region001,GNKANFNI_74.region001,M38,M24
APGDIBME_32.region001,GNKANFNI_21.region001,M38,M24
APGNHLOD_104.region001,APGNHLOD_104.region001,M38,M38
APGNHLOD_34.region001,APGNHLOD_34.region001,M38,M38
APLIPKFB_105.region001,APLIPKFB_105.region001,M36,M36
APLIPKFB_119.region001,IJJEGNDG_11.region001,M36,M38
APLIPKFB_119.region001,ICNECMED_48.region001,M36,M39
APLIPKFB_17.region001,ICNECMED_135.region001,M36,M39
APLIPKFB_178.region001,IJJEGNDG_225.region001,M36,M38
APLIPKFB_178.region001,ICNECMED_123.region001,M36,M39
APLIPKFB_58.region001,APLIPKFB_58.region001,M36,M36
APPKEMID_55.region001,APPKEMID_55.region001,M25,M25
BAIALBNB_118.region001,BAIALBNB_118.region001,M33,M33
BAIALBNB_149.region001,BAIALBNB_149.region001,M33,M33
BAIALBNB_73.region001,BAIALBNB_73.region001,M33,M33
BAIALBNB_96.region001,BAIALBNB_96.region001,M33,M33
BBBCDLJB_1055.region001,BBBCDLJB_1055.region001,M24,M24
BBBCDLJB_1223.region001,BBBCDLJB_1223.region001,M24,M24
BBBCDLJB_1301.region001,BBBCDLJB_1301.region001,M24,M24
BBBCDLJB_243.region001,BBBCDLJB_243.region001,M24,M24
BBBCDLJB_989.region001,BBBCDLJB_989.region001,M24,M24
BBEMPNNE_582.region001,BBEMPNNE_582.region001,M24,M24
BCGFPKJE_21.region001,BCGFPKJE_21.region001,M24,M24
BCGFPKJE_30.region001,HHBKGBCH_73.region001,M24,M39
BCGFPKJE_33.region001,HHBKGBCH_15.region001,M24,M39
BCGFPKJE_42.region001,HHBKGBCH_70.region001,M24,M39
BCGFPKJE_44.region001,HHBKGBCH_86.region001,M24,M39
BCGFPKJE_47.region001,BCGFPKJE_47.region001,M24,M24
BCLDLBDD_11.region001,BCLDLBDD_11.region001,M33,M33
BCLDLBDD_118.region001,BCLDLBDD_118.region001,M33,M33
BCLDLBDD_123.region001,BCLDLBDD_123.region001,M33,M33
BCLDLBDD_124.region001,BCLDLBDD_124.region001,M33,M33
BDHJOFGG_132.region001,HECEMDOC_14.region001,M26,M25
BDHJOFGG_132.region001,KKKOIOLA_34.region001,M26,M39
BDNAFLFJ_54.region001,BDNAFLFJ_54.region001,M39,M39
BDNAFLFJ_79.region001,BDNAFLFJ_79.region001,M39,M39
BDOMIJBA_148.region001,BDOMIJBA_148.region001,M25,M25
BDOMIJBA_152.region001,BDOMIJBA_152.region001,M25,M25
BDOMIJBA_171.region001,BDOMIJBA_171.region001,M25,M25
BECGIJIG_136.region001,KKKOIOLA_34.region001,M42,M39
BECGIJIG_136.region001,HECEMDOC_14.region001,M42,M25
BEDLJFEI_42.region001,BEDLJFEI_42.region001,M25,M25
BEDLJFEI_51.region001,BEDLJFEI_51.region001,M25,M25
BELJCDKK_13.region001,PCIALCMD_143.region001,M24,M42
BELJCDKK_27.region001,BELJCDKK_27.region001,M24,M24
BELJCDKK_3.region001,PCIALCMD_6.region001,M24,M42
BELJCDKK_32.region001,EIJMIFHJ_250.region001,M24,M25
BFAFEAIL_417.region001,BFAFEAIL_417.region001,M38,M38
BFAFEAIL_8.region001,BPODBAHM_39.region001,M38,M39
BFAJAABG_70.region001,BFAJAABG_70.region001,M39,M39
BFEMGKGJ_104.region001,BFEMGKGJ_104.region001,M39,M39
BFEMGKGJ_12.region001,BFEMGKGJ_12.region001,M39,M39
BFEMGKGJ_125.region001,BFEMGKGJ_125.region001,M39,M39
BFEMGKGJ_41.region001,BFEMGKGJ_41.region001,M39,M39
BFEMGKGJ_46.region001,BFEMGKGJ_46.region001,M39,M39
BFHHFIMI_139.region001,BFHHFIMI_139.region001,M33,M33
BFHHFIMI_174.region001,BFHHFIMI_174.region001,M33,M33
BFHHFIMI_206.region001,BFHHFIMI_206.region001,M33,M33
BFHHFIMI_62.region001,BFHHFIMI_62.region001,M33,M33
BGC0000001,BGC0000001,MIBiG,MIBiG
BGC0000002,BGC0000002,MIBiG,MIBiG
BGC0000003,BGC0000003,MIBiG,MIBiG
BGC0000004,BGC0000004,MIBiG,MIBiG
BGC0000006,BGC0000006,MIBiG,MIBiG
BGC0000007,BGC0000007,MIBiG,MIBiG
BGC0000008,BGC0000008,MIBiG,MIBiG
BGC0000009,BGC0000009,MIBiG,MIBiG
BGC0000010,BGC0000010,MIBiG,MIBiG
BGC0000011,BGC0000011,MIBiG,MIBiG
BGC0000012,BGC0000012,MIBiG,MIBiG
BGC0000013,BGC0000013,MIBiG,MIBiG
BGC0000014,BGC0000014,MIBiG,MIBiG
BGC0000016,BGC0000016,MIBiG,MIBiG
BGC0000017,BGC0000017,MIBiG,MIBiG
BGC0000018,BGC0000018,MIBiG,MIBiG
BGC0000019,BGC0000019,MIBiG,MIBiG
BGC0000020,BGC0000020,MIBiG,MIBiG
BGC0000021,BGC0000021,MIBiG,MIBiG
BGC0000022,BGC0000022,MIBiG,MIBiG
BGC0000023,BGC0000023,MIBiG,MIBiG
BGC0000024,BGC0000024,MIBiG,MIBiG
BGC0000025,BGC0000025,MIBiG,MIBiG
BGC0000026,BGC0000026,MIBiG,MIBiG
BGC0000027,BGC0000027,MIBiG,MIBiG
BGC0000028,BGC0000028,MIBiG,MIBiG
BGC0000029,BGC0000029,MIBiG,MIBiG
BGC0000030,BGC0000030,MIBiG,MIBiG
BGC0000031,BGC0000031,MIBiG,MIBiG
BGC0000032,BGC0000032,MIBiG,MIBiG
BGC0000033,BGC0000033,MIBiG,MIBiG
BGC0000034,BGC0000034,MIBiG,MIBiG
BGC0000035,BGC0000035,MIBiG,MIBiG
BGC0000036,BGC0000036,MIBiG,MIBiG
BGC0000037,BGC0000037,MIBiG,MIBiG
BGC0000038,BGC0000038,MIBiG,MIBiG
BGC0000039,BGC0000039,MIBiG,MIBiG
BGC0000040,BGC0000040,MIBiG,MIBiG
BGC0000041,BGC0000041,MIBiG,MIBiG
BGC0000042,BGC0000042,MIBiG,MIBiG
BGC0000043,BGC0000043,MIBiG,MIBiG
BGC0000044,BGC0000044,MIBiG,MIBiG
BGC0000045,BGC0000045,MIBiG,MIBiG
BGC0000046,BGC0000046,MIBiG,MIBiG
BGC0000047,BGC0000047,MIBiG,MIBiG
BGC0000048,BGC0000048,MIBiG,MIBiG
BGC0000050,BGC0000050,MIBiG,MIBiG
BGC0000051,BGC0000051,MIBiG,MIBiG
BGC0000052,BGC0000052,MIBiG,MIBiG
BGC0000053,BGC0000053,MIBiG,MIBiG
BGC0000054,BGC0000054,MIBiG,MIBiG
BGC0000055,BGC0000055,MIBiG,MIBiG
BGC0000056,BGC0000056,MIBiG,MIBiG
BGC0000057,BGC0000057,MIBiG,MIBiG
BGC0000058,BGC0000058,MIBiG,MIBiG
BGC0000059,BGC0000059,MIBiG,MIBiG
BGC0000060,BGC0000060,MIBiG,MIBiG
BGC0000062,BGC0000062,MIBiG,MIBiG
BGC0000063,BGC0000063,MIBiG,MIBiG
BGC0000064,BGC0000064,MIBiG,MIBiG
BGC0000065,BGC0000065,MIBiG,MIBiG
BGC0000066,BGC0000066,MIBiG,MIBiG
BGC0000067,BGC0000067,MIBiG,MIBiG
BGC0000068,BGC0000068,MIBiG,MIBiG
BGC0000069,BGC0000069,MIBiG,MIBiG
BGC0000070,BGC0000070,MIBiG,MIBiG
BGC0000072,BGC0000072,MIBiG,MIBiG
BGC0000073,BGC0000073,MIBiG,MIBiG
BGC0000074,BGC0000074,MIBiG,MIBiG
BGC0000075,BGC0000075,MIBiG,MIBiG
BGC0000076,BGC0000076,MIBiG,MIBiG
BGC0000077,BGC0000077,MIBiG,MIBiG
BGC0000078,BGC0000078,MIBiG,MIBiG
BGC0000079,BGC0000079,MIBiG,MIBiG
BGC0000080,BGC0000080,MIBiG,MIBiG
BGC0000081,BGC0000081,MIBiG,MIBiG
BGC0000082,BGC0000082,MIBiG,MIBiG
BGC0000083,BGC0000083,MIBiG,MIBiG
BGC0000084,BGC0000084,MIBiG,MIBiG
BGC0000085,BGC0000085,MIBiG,MIBiG
BGC0000086,BGC0000086,MIBiG,MIBiG
BGC0000087,BGC0000087,MIBiG,MIBiG
BGC0000088,BGC0000088,MIBiG,MIBiG
BGC0000090,BGC0000090,MIBiG,MIBiG
BGC0000091,BGC0000091,MIBiG,MIBiG
BGC0000092,BGC0000092,MIBiG,MIBiG
BGC0000093,BGC0000093,MIBiG,MIBiG
BGC0000094,BGC0000094,MIBiG,MIBiG
BGC0000096,BGC0000096,MIBiG,MIBiG
BGC0000097,BGC0000097,MIBiG,MIBiG
BGC0000098,BGC0000098,MIBiG,MIBiG
BGC0000099,BGC0000099,MIBiG,MIBiG
BGC0000100,BGC0000100,MIBiG,MIBiG
BGC0000102,BGC0000102,MIBiG,MIBiG
BGC0000103,BGC0000103,MIBiG,MIBiG
BGC0000104,BGC0000104,MIBiG,MIBiG
BGC0000105,BGC0000105,MIBiG,MIBiG
BGC0000106,BGC0000106,MIBiG,MIBiG
BGC0000107,BGC0000107,MIBiG,MIBiG
BGC0000108,BGC0000108,MIBiG,MIBiG
BGC0000109,BGC0000109,MIBiG,MIBiG
BGC0000110,BGC0000110,MIBiG,MIBiG
BGC0000111,BGC0000111,MIBiG,MIBiG
BGC0000112,BGC0000112,MIBiG,MIBiG
BGC0000113,BGC0000113,MIBiG,MIBiG
BGC0000114,BGC0000114,MIBiG,MIBiG
BGC0000115,BGC0000115,MIBiG,MIBiG
BGC0000116,BGC0000116,MIBiG,MIBiG
BGC0000117,BGC0000117,MIBiG,MIBiG
BGC0000118,BGC0000118,MIBiG,MIBiG
BGC0000119,BGC0000119,MIBiG,MIBiG
BGC0000120,BGC0000120,MIBiG,MIBiG
BGC0000121,BGC0000121,MIBiG,MIBiG
BGC0000122,BGC0000122,MIBiG,MIBiG
BGC0000123,BGC0000123,MIBiG,MIBiG
BGC0000124,BGC0000124,MIBiG,MIBiG
BGC0000125,BGC0000125,MIBiG,MIBiG
BGC0000126,BGC0000126,MIBiG,MIBiG
BGC0000127,BGC0000127,MIBiG,MIBiG
BGC0000128,BGC0000128,MIBiG,MIBiG
BGC0000129,BGC0000129,MIBiG,MIBiG
BGC0000130,BGC0000130,MIBiG,MIBiG
BGC0000131,BGC0000131,MIBiG,MIBiG
BGC0000132,BGC0000132,MIBiG,MIBiG
BGC0000133,BGC0000133,MIBiG,MIBiG
BGC0000134,BGC0000134,MIBiG,MIBiG
BGC0000135,BGC0000135,MIBiG,MIBiG
BGC0000136,BGC0000136,MIBiG,MIBiG
BGC0000137,BGC0000137,MIBiG,MIBiG
BGC0000138,BGC0000138,MIBiG,MIBiG
BGC0000140,BGC0000140,MIBiG,MIBiG
BGC0000141,BGC0000141,MIBiG,MIBiG
BGC0000142,BGC0000142,MIBiG,MIBiG
BGC0000143,BGC0000143,MIBiG,MIBiG
BGC0000144,BGC0000144,MIBiG,MIBiG
BGC0000145,BGC0000145,MIBiG,MIBiG
BGC0000146,BGC0000146,MIBiG,MIBiG
BGC0000147,BGC0000147,MIBiG,MIBiG
BGC0000148,BGC0000148,MIBiG,MIBiG
BGC0000149,BGC0000149,MIBiG,MIBiG
BGC0000150,BGC0000150,MIBiG,MIBiG
BGC0000151,BGC0000151,MIBiG,MIBiG
BGC0000152,BGC0000152,MIBiG,MIBiG
BGC0000153,BGC0000153,MIBiG,MIBiG
BGC0000154,BGC0000154,MIBiG,MIBiG
BGC0000156,BGC0000156,MIBiG,MIBiG
BGC0000157,BGC0000157,MIBiG,MIBiG
BGC0000158,BGC0000158,MIBiG,MIBiG
BGC0000159,BGC0000159,MIBiG,MIBiG
BGC0000160,BGC0000160,MIBiG,MIBiG
BGC0000161,BGC0000161,MIBiG,MIBiG
BGC0000162,BGC0000162,MIBiG,MIBiG
BGC0000163,BGC0000163,MIBiG,MIBiG
BGC0000164,BGC0000164,MIBiG,MIBiG
BGC0000165,BGC0000165,MIBiG,MIBiG
BGC0000166,BGC0000166,MIBiG,MIBiG
BGC0000167,BGC0000167,MIBiG,MIBiG
BGC0000168,BGC0000168,MIBiG,MIBiG
BGC0000170,BGC0000170,MIBiG,MIBiG
BGC0000171,BGC0000171,MIBiG,MIBiG
BGC0000172,BGC0000172,MIBiG,MIBiG
BGC0000173,BGC0000173,MIBiG,MIBiG
BGC0000174,BGC0000174,MIBiG,MIBiG
BGC0000175,BGC0000175,MIBiG,MIBiG
BGC0000176,BGC0000176,MIBiG,MIBiG
BGC0000177,BGC0000177,MIBiG,MIBiG
BGC0000178,BGC0000178,MIBiG,MIBiG
BGC0000179,BGC0000179,MIBiG,MIBiG
BGC0000180,BGC0000180,MIBiG,MIBiG
BGC0000181,BGC0000181,MIBiG,MIBiG
BGC0000182,BGC0000182,MIBiG,MIBiG
BGC0000184,BGC0000184,MIBiG,MIBiG
BGC0000185,BGC0000185,MIBiG,MIBiG
BGC0000186,BGC0000186,MIBiG,MIBiG
BGC0000187,BGC0000187,MIBiG,MIBiG
BGC0000188,BGC0000188,MIBiG,MIBiG
BGC0000189,BGC0000189,MIBiG,MIBiG
BGC0000190,BGC0000190,MIBiG,MIBiG
BGC0000191,BGC0000191,MIBiG,MIBiG
BGC0000192,BGC0000192,MIBiG,MIBiG
BGC0000193,BGC0000193,MIBiG,MIBiG
BGC0000194,BGC0000194,MIBiG,MIBiG
BGC0000195,BGC0000195,MIBiG,MIBiG
BGC0000196,BGC0000196,MIBiG,MIBiG
BGC0000197,BGC0000197,MIBiG,MIBiG
BGC0000198,BGC0000198,MIBiG,MIBiG
BGC0000199,BGC0000199,MIBiG,MIBiG
BGC0000200,BGC0000200,MIBiG,MIBiG
BGC0000201,BGC0000201,MIBiG,MIBiG
BGC0000202,BGC0000202,MIBiG,MIBiG
BGC0000203,BGC0000203,MIBiG,MIBiG
BGC0000204,BGC0000204,MIBiG,MIBiG
BGC0000205,BGC0000205,MIBiG,MIBiG
BGC0000207,BGC0000207,MIBiG,MIBiG
BGC0000208,BGC0000208,MIBiG,MIBiG
BGC0000209,BGC0000209,MIBiG,MIBiG
BGC0000210,BGC0000210,MIBiG,MIBiG
BGC0000211,BGC0000211,MIBiG,MIBiG
