Metagenome,MAG,BGC,class,Predicted product,Domain,Phylum,Class,Order,Family,Genus,Species
M24,Aegir_M24_B11,CKJGPINA_280.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,CAJXQU01,CAJXQU01,CAJXQU01,CAJXQU01 sp026984275
M24,Aegir_M24_B110,NLMDFIEA_168.region001,Terpene,Terpene generic,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,0
M24,Aegir_M24_B110,NLMDFIEA_175.region001,RiPP,RiPP-like,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,0
M24,Aegir_M24_B110,NLMDFIEA_181.region001,RiPP,RiPP-like,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,0
M24,Aegir_M24_B110,NLMDFIEA_392.region001,RiPP,RiPP-like,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,0
M24,Aegir_M24_B110,NLMDFIEA_9.region001,NRP,NRPS-like,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,0
M24,Aegir_M24_B111,PIANMFAJ_110.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0
M24,Aegir_M24_B111,PIANMFAJ_48.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0
M24,Aegir_M24_B112,NCOLKFPD_107.region001,RiPP,RiPP-like,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,DRQF01,0
M24,Aegir_M24_B112,NCOLKFPD_346.region001,RiPP,RRE-containing,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,DRQF01,0
M24,Aegir_M24_B112,NCOLKFPD_378.region001,Terpene,Terpene generic,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,DRQF01,0
M24,Aegir_M24_B112,NCOLKFPD_502.region001,Terpene,Terpene generic,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,DRQF01,0
M24,Aegir_M24_B112,NCOLKFPD_716.region001,RiPP,RiPP-like,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,DRQF01,0
M24,Aegir_M24_B113,NEOEDNCB_47.region001,Hybrid,arylpolyene:resorcinol,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,S010-17,0
M24,Aegir_M24_B113,NEOEDNCB_12.region001,Other,arylpolyene,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,S010-17,0
M24,Aegir_M24_B114,GDCPMDGF_12.region001,Terpene,Terpene generic,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Devosiaceae,DROE01,0
M24,Aegir_M24_B114,GDCPMDGF_34.region001,Polyketide,T3PKS,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Devosiaceae,DROE01,0
M24,Aegir_M24_B115,FBCILAEC_199.region001,Other,hserlactone,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,Profundibacter amoris
M24,Aegir_M24_B115,FBCILAEC_254.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,Profundibacter amoris
M24,Aegir_M24_B116,LFICFLKJ_140.region001,RiPP,RiPP-like,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,0
M24,Aegir_M24_B116,LFICFLKJ_159.region001,RiPP,RiPP-like,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,0
M24,Aegir_M24_B117,CAMPJJDL_203.region001,Other,hserlactone,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAAEUB01,0
M24,Aegir_M24_B118,FAKNGFII_126.region001,RiPP,RRE-containing,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,0
M24,Aegir_M24_B118,FAKNGFII_144.region001,Other,resorcinol,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,0
M24,Aegir_M24_B118,FAKNGFII_18.region001,Other,arylpolyene,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,0
M24,Aegir_M24_B118,FAKNGFII_201.region001,Other,arylpolyene,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,0
M24,Aegir_M24_B118,FAKNGFII_274.region001,Terpene,Terpene generic,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,0
M24,Aegir_M24_B118,FAKNGFII_392.region001,Terpene,Terpene generic,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,0
M24,Aegir_M24_B118,FAKNGFII_40.region001,Polyketide,PKS-like,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,0
M24,Aegir_M24_B119,DEJCOLOP_193.region001,Polyketide,T3PKS,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,UBA1924,UBA1924,0
M24,Aegir_M24_B12,AMEDOMHJ_171.region001,NRP,NRPS-like,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0
M24,Aegir_M24_B12,AMEDOMHJ_253.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0
M24,Aegir_M24_B12,AMEDOMHJ_272.region001,NRP,NRP generic,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0
M24,Aegir_M24_B12,AMEDOMHJ_30.region001,Hybrid,NRPS-like:T1PKS,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0
M24,Aegir_M24_B12,AMEDOMHJ_19.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,0
M24,Aegir_M24_B122,FDEIFABP_83.region001,RiPP,redox-cofactor,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methyloprofundus,Methyloprofundus sp900128525
M24,Aegir_M24_B122,FDEIFABP_79.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methyloprofundus,Methyloprofundus sp900128525
M24,Aegir_M24_B122,FDEIFABP_48.region001,Terpene,Terpene generic,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methyloprofundus,Methyloprofundus sp900128525
M24,Aegir_M24_B123,FHGAEOEJ_16.region001,Terpene,Terpene generic,Bacteria,Pseudomonadota,Gammaproteobacteria,UBA6429,UBA6429,JALUTW01,JALUTW01 sp027021685
M24,Aegir_M24_B123,FHGAEOEJ_67.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,UBA6429,UBA6429,JALUTW01,JALUTW01 sp027021685
M24,Aegir_M24_B123,FHGAEOEJ_73.region001,Other,arylpolyene,Bacteria,Pseudomonadota,Gammaproteobacteria,UBA6429,UBA6429,JALUTW01,JALUTW01 sp027021685
M24,Aegir_M24_B124,GBGOCJJP_100.region001,Polyketide,T3PKS,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,0,0
M24,Aegir_M24_B124,GBGOCJJP_67.region001,NRP,NRP generic,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,0,0
M24,Aegir_M24_B124,GBGOCJJP_54.region001,NRP,NRP generic,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,0,0
M24,Aegir_M24_B124,GBGOCJJP_100.region002,Other,resorcinol,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,0,0
M24,Aegir_M24_B124,GBGOCJJP_112.region001,Terpene,Terpene generic,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,0,0
M24,Aegir_M24_B124,GBGOCJJP_84.region001,RiPP,RiPP-like,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,0,0
M24,Aegir_M24_B125,PPEFOLCN_228.region001,RiPP,RiPP-like,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,S139-23,0
M24,Aegir_M24_B125,PPEFOLCN_30.region001,Terpene,Terpene generic,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,S139-23,0
M24,Aegir_M24_B125,PPEFOLCN_686.region001,RiPP,RRE-containing,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,S139-23,0
M24,Aegir_M24_B125,PPEFOLCN_727.region001,RiPP,RiPP-like,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,S139-23,0
M24,Aegir_M24_B126,IGJKKHJM_13.region001,Other,hserlactone,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAJRUE01,0
M24,Aegir_M24_B126,IGJKKHJM_35.region001,Other,hserlactone,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAJRUE01,0
M24,Aegir_M24_B126,IGJKKHJM_5.region001,Other,betalactone,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAJRUE01,0
M24,Aegir_M24_B126,IGJKKHJM_10.region001,Terpene,Terpene generic,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAJRUE01,0
M24,Aegir_M24_B127,DHLFLHGA_165.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_182.region001,RiPP,RRE-containing,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_185.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_237.region001,Polyketide,T1PKS,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_309.region001,NRP,NRP generic,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_372.region001,Other,arylpolyene,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_497.region001,Polyketide,T3PKS,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_532.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_556.region001,NRP,NRP generic,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_603.region001,RiPP,RiPP-like,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_651.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_661.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_752.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_798.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_872.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_94.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_374.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_342.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_91.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_910.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B127,DHLFLHGA_921.region001,Other,acyl_amino_acids,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,0
M24,Aegir_M24_B128,FDOIAPJH_117.region001,Polyketide,hglE-KS,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae_A,JAHRVQ01,0
M24,Aegir_M24_B128,FDOIAPJH_52.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae_A,JAHRVQ01,0
M24,Aegir_M24_B129,NPEJHEFM_93.region001,Other,arylpolyene,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Vicingaceae,GCA-002793235,0
M24,Aegir_M24_B129,NPEJHEFM_91.region001,Hybrid,arylpolyene:resorcinol,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Vicingaceae,GCA-002793235,0
M24,Aegir_M24_B13,HMPFCKPD_12.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,0,0
M24,Aegir_M24_B13,HMPFCKPD_81.region001,Terpene,Terpene generic,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,0,0
M24,Aegir_M24_B13,HMPFCKPD_40.region001,NRP,NRPS-like,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,0,0
M24,Aegir_M24_B130,KOFGBFOK_7.region001,Other,arylpolyene,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
M24,Aegir_M24_B130,KOFGBFOK_136.region001,Other,hydrogen-cyanide,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
M24,Aegir_M24_B130,KOFGBFOK_34.region001,NRP,NRPS-like,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
M24,Aegir_M24_B130,KOFGBFOK_123.region001,Other,betalactone,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
M24,Aegir_M24_B130,KOFGBFOK_56.region001,RiPP,redox-cofactor,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
M24,Aegir_M24_B130,KOFGBFOK_139.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
M24,Aegir_M24_B130,KOFGBFOK_5.region001,Terpene,Terpene generic,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
M24,Aegir_M24_B131,CIIHKDJI_39.region001,RiPP,redox-cofactor,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,0
M24,Aegir_M24_B131,CIIHKDJI_51.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,0
M24,Aegir_M24_B131,CIIHKDJI_89.region001,Terpene,Terpene generic,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,0
M24,Aegir_M24_B132,BKNNPPBI_130.region001,Hybrid,NRPS-like:T1PKS,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,JARGPD01,0
M24,Aegir_M24_B132,BKNNPPBI_8.region001,Hybrid,NRPS:T1PKS,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,JARGPD01,0
M24,Aegir_M24_B14,ANCDLGFE_20.region001,NRP,NRP generic,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae_A,GCA-002726655,0
M24,Aegir_M24_B14,ANCDLGFE_6.region001,Polyketide,hglE-KS,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae_A,GCA-002726655,0
M24,Aegir_M24_B15,LJPEBJAM_258.region001,NRP,NRPS-like,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,GCA-2862085,0
M24,Aegir_M24_B15,LJPEBJAM_68.region001,RiPP,thiopeptide,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,GCA-2862085,0
M24,Aegir_M24_B15,LJPEBJAM_252.region001,Polyketide,T3PKS,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,GCA-2862085,0
M24,Aegir_M24_B16,BBEMPNNE_582.region001,Polyketide,T3PKS,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubinisphaera,0
M24,Aegir_M24_B17,JECBHHKC_10.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,0,0
M24,Aegir_M24_B18,BHALFHGL_116.region001,Other,hserlactone,Bacteria,Pseudomonadota,Gammaproteobacteria,DSM-19610,DSM-19610,Thiogranum,0
M24,Aegir_M24_B18,BHALFHGL_227.region001,Terpene,Terpene generic,Bacteria,Pseudomonadota,Gammaproteobacteria,DSM-19610,DSM-19610,Thiogranum,0
M24,Aegir_M24_B18,BHALFHGL_65.region001,RiPP,RiPP-like,Bacteria,Pseudomonadota,Gammaproteobacteria,DSM-19610,DSM-19610,Thiogranum,0
M24,Aegir_M24_B19,FPDLEAHF_158.region001,Other,acyl_amino_acids,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,0,0
M24,Aegir_M24_B19,FPDLEAHF_19.region001,Other,acyl_amino_acids,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,0,0
M24,Aegir_M24_B19,FPDLEAHF_54.region001,RiPP,RiPP-like,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,0,0
M24,Aegir_M24_B19,FPDLEAHF_55.region001,Other,acyl_amino_acids,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,0,0
M24,Aegir_M24_B2,AGHCKNLD_294.region001,NRP,NRPS-like,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,0,0
M24,Aegir_M24_B2,AGHCKNLD_341.region001,Other,arylpolyene,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,0,0
M24,Aegir_M24_B2,AGHCKNLD_356.region001,Terpene,Terpene generic,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,0,0
M24,Aegir_M24_B2,AGHCKNLD_385.region001,Terpene,Terpene generic,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,0,0
M24,Aegir_M24_B2,AGHCKNLD_390.region001,Hybrid,T3PKS:RiPP-like,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,0,0
M24,Aegir_M24_B2,AGHCKNLD_436.region001,Polyketide,T1PKS,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,0,0
M24,Aegir_M24_B2,AGHCKNLD_454.region001,Other,arylpolyene,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,0,0
M24,Aegir_M24_B2,AGHCKNLD_459.region001,NRP,NRPS-like,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,0,0
M24,Aegir_M24_B2,AGHCKNLD_664.region001,Terpene,Terpene generic,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,0,0
M24,Aegir_M24_B20,LNMAEBHA_185.region001,Other,arylpolyene,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,0
M24,Aegir_M24_B20,LNMAEBHA_220.region001,Terpene,Terpene generic,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,0
