genome_ID,M24,M25,M26,M36,M37,M38,M39,M33,M42,Domain,Phylum,Class,Order,Family,Genus,Species
Aegir_M24_B117,0.03943501,0.03087272,0,0,0,0,0.015460735,0,0.06251047,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAAEUB01,
Aegir_M24_B118,0.06933179,0,0,0,0,0,0,0.006438277,0,Bacteria,Bacteroidota,Bacteroidia,UBA10329,UBA10329,UBA10329,
Aegir_M24_B119,0.20089106,0.001748941,0,0,0.023811432,0.001496497,0.013104682,0.043223765,0,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,UBA1924,UBA1924,
Aegir_M24_B12,0.06385905,0,0,0,0,0.002774683,0,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,
Aegir_M24_B120,0.069384865,0.008519053,0,0.012929782,0,0.000766699,0.11229124,0,0,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,JALSTN01,
Aegir_M24_B121,0.17206033,0,0,0,0.003032341,0.002484681,0.007095834,0,0,Bacteria,Patescibacteria,Paceibacteria,UBA9973,UBA918,OLB19,
Aegir_M24_B122,0.3823007,0.13741235,0,2.3942747,0.15393168,0.010462003,1.3280607,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methyloprofundus,Methyloprofundus sp900128525
Aegir_M24_B123,0.1407726,0.006376742,0,0,0,0,0,0,0.008337799,Bacteria,Pseudomonadota,Gammaproteobacteria,UBA6429,UBA6429,JALUTW01,JALUTW01 sp027021685
Aegir_M24_B124,0.09033569,0,0,0.00510039,0,0,0.042011183,0,0,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,,
Aegir_M24_B125,0.0636449,0,0,0,0,0.001200425,0.009812723,0,0,Bacteria,Planctomycetota,GCA-002687715,GCA-002687715,DRQF01,S139-23,
Aegir_M24_B126,0.2816878,0.001656697,0,0,0,0.00087664,0.061954338,0,0.007363123,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAJRUE01,
Aegir_M24_B127,0.071185775,0,0,0,0,0.005820706,0.003717263,0.009016071,0,Bacteria,Planctomycetota,GCA-2746535,GCA-2746535,GCA-2746535,GCA-2746535,
Aegir_M24_B128,0.11052984,0,0,0,0,0,0,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae_A,JAHRVQ01,
Aegir_M24_B129,0.22588192,0.002010571,0,0.029448448,0.036326624,0.009666689,0.014703136,0.031255897,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Vicingaceae,GCA-002793235,
Aegir_M24_B13,1.2207953,0.001230612,0,0,0,0,0,0.035469424,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,,
Aegir_M24_B130,0.08244437,0.02328802,0,0,0,0,0.11172223,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
Aegir_M24_B131,0.15726434,0.013238733,0,0.10581696,0.051119387,0.011698704,0.056749243,0.033629123,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,
Aegir_M24_B132,0.10581065,0.000643809,0,0.008553139,0.00299553,0.002530662,0.051973358,0,0,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,JARGPD01,
Aegir_M24_B133,0.06051094,0,0,0,0,0.013624858,0,0,0,Bacteria,Planctomycetota,JADGBV01,JADGBV01,JADGBV01,JADGBV01,
Aegir_M24_B14,0.20388259,0,0,0,0,0,0.001269481,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae_A,GCA-002726655,
Aegir_M24_B15,0.10998809,0,0,0,0,0,0.053897653,0,0,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,GCA-2862085,
Aegir_M24_B16,0.050812226,0.004423099,0,0.005747512,0,0,0.024533346,0,0.000791774,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubinisphaera,
Aegir_M24_B17,0.10660512,0,0,0,0,0.002228673,0,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,,
Aegir_M24_B18,0.067750014,0,0,0,0,0.001609619,0,0,0.002141437,Bacteria,Pseudomonadota,Gammaproteobacteria,DSM-19610,DSM-19610,Thiogranum,
Aegir_M24_B19,0.09700666,0,0,0,0,0,0.004249919,0.003256319,0,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,,
Aegir_M24_B2,0.07184029,0.000603287,0,0,0.0179972,0,0.019815143,0.001992432,0,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,,
Aegir_M24_B20,0.04150965,0.001813917,0,0.013641402,0.012778015,0.02119851,0.001863041,0.002300732,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,
Aegir_M24_B21,0.11022319,0.001490273,0,0,0.005359748,0,0.021891596,0.004950912,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,SZUA-100,
Aegir_M24_B22,0.052688546,0,0,0,0,0,0,0.001378516,0,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,NORP324,
Aegir_M24_B23,0.07646024,0,0,0,0,0.002824617,0.01735023,0.015144659,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amylibacter,Amylibacter sp024280735
Aegir_M24_B24,0.22038022,0,0,0,0,0,0,0,0.007495085,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-152,SZUA-152,SZUA-152,
Aegir_M24_B25,0.78095573,0.0007046,0,0,0,0,0,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-152,SZUA-152,SZUA-152,
Aegir_M24_B26,0.11866902,0.012501886,0,0.033853088,0.035431758,0.030055918,0.27156258,0.06311588,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-002733185,
Aegir_M24_B27,0.47358963,0,0,0,0,0,0,0.047974285,0,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,,
Aegir_M24_B28,0.14417599,0.5463389,0.19303936,0.012212273,0,0,0.269232,0,0.005063971,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomarinum,
Aegir_M24_B29,0.12352511,0.017452963,0,0.001800473,0,0.004488421,0.4988338,0,0.001365012,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,GCA-002770795,DRNA01,
Aegir_M24_B3,0.057195187,0,0,0,0,0,0.001244884,0.005056744,0,Bacteria,Myxococcota,UBA9042,PHBI01,CALCNF01,,
Aegir_M24_B30,0.06030335,0,0,0.006704522,0.004997511,0.026883608,0.007539569,0.003730156,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Putridiphycobacter,
Aegir_M24_B31,0.1636288,0,0,0,0,0.004818501,0,0.045782264,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,GCA-002733465,
Aegir_M24_B32,0.056985985,0.22881602,0,0.031442404,0,0.000770645,0.070932396,0,0,Bacteria,Chloroflexota,Anaerolineae,Promineifilales,Promineifilaceae,JAJRTP01,
Aegir_M24_B33,0.100662984,0,0,0,0,0,0.033166748,0,0,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,JAKISE01,
Aegir_M24_B34,0.21074395,0,0,0.002709305,0.009240158,0,0.011345849,0,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Devosiaceae,DROE01,
Aegir_M24_B35,0.116362475,0.058422804,0,0.006912594,0,0,0.028470742,0.004241932,0.031245159,Bacteria,Pseudomonadota,Gammaproteobacteria,UWMA-0217,UWMA-0217,JALSHZ01,
Aegir_M24_B36,0.16138537,0,0,0,0.002619908,0,0.007416849,0.004959816,0,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,JANQLF01,
Aegir_M24_B37,0.06417463,0.018378872,0,0,0,0,0,0,0.058049243,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,UBA6168,
Aegir_M24_B38,0.04958231,0,0,0,0.01457386,0,0.016937017,0,0,Bacteria,Planctomycetota,UBA1135,UBA2386,UBA2386,,
Aegir_M24_B39,0.05625332,0.012206292,0,0.018183688,0.008517785,0.004726916,0.072402634,0.009155938,0,Bacteria,Verrucomicrobiota,Kiritimatiellia,UBA8416,,,
Aegir_M24_B4,0.18899542,0.000686823,0,0,0,0.014456935,0,0.04743952,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,Sulfurovum sp030949325
Aegir_M24_B40,0.11054758,0,0,0,0,0,0,0.01463816,0,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,JAHDFW01,JAHDFW01,
Aegir_M24_B41,0.03517238,0.07987992,0.010211774,0.012848142,0,0.002076926,0.119834974,0,0.004262051,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,S010-17,
Aegir_M24_B42,0.16001628,0.004633195,0,0.003075962,0.00202561,0,0.28695723,0,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicella,
Aegir_M24_B43,0.05337933,0.0309416,0,0,0,0,0,0,0.005366031,Bacteria,Pseudomonadota,Gammaproteobacteria,S144-34,S144-34,S144-34,S144-34 sp026989495
Aegir_M24_B44,0.29600963,0.004043647,0,0,0,0,0.09201581,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,
Aegir_M24_B45,0.11197675,0.000458363,0,0.002755299,0.003715552,0.002164318,0.028012782,0.001808459,0,Bacteria,Myxococcota,Bradymonadia,Bradymonadales,Bradymonadaceae,CALJNB01,
Aegir_M24_B46,0.06415341,0,0,0,0.002655799,0.000877614,0,0.002529426,0,Bacteria,Bacteroidota,Kapaibacteriia,Kapaibacteriales,UBA2268,,
Aegir_M24_B47,0.2362068,0,0,0.002714908,0.002607106,0,0.012081972,0.001871559,0,Bacteria,Patescibacteria,Paceibacteria,UBA9973,UBA918,OLB19,
Aegir_M24_B48,0.048895095,0.008754245,0,0,0,0,0,0,0,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,S012-47,S012-47,
Aegir_M24_B49,0.07545083,0.001210925,0,0,0,0.001286683,0,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-152,SZUA-152,SZUA-152,
Aegir_M24_B5,0.61207426,0.01161959,0,0,0.21217915,0.006542639,0.11563362,0.01654886,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,
Aegir_M24_B50,0.06281611,0,0,0,0,0.003653592,0,0.09099273,0,Bacteria,Pseudomonadota,Gammaproteobacteria,GCA-001735895,GCA-001735895,,
Aegir_M24_B51,0.14100982,0,0,0,0.008949117,0,0,0.003752505,0,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,,
Aegir_M24_B52,0.46023536,0,0,0,0,0.004583858,0,0.00508624,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Colwellia,
Aegir_M24_B53,0.16116716,0.007657027,0,0.013678375,0,0.001164798,0.03208563,0,0,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,GCA-2746605,
Aegir_M24_B54,0.055956308,0,0,0,0.00450048,0,0.002919779,0,0,Bacteria,Myxococcota,UBA727,UBA727,,,
Aegir_M24_B55,0.040719997,0.029137904,0.002852129,0,0,0,0.013628962,0.001945843,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA3077,
Aegir_M24_B56,0.033979077,0,0,0,0,0,0.04237437,0,0,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,S012-113,
Aegir_M24_B57,0.07274378,0,0,0,0,0,0,0.007396012,0,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,Arctic95D-9,
Aegir_M24_B58,1.6891419,0,0,0.02543165,0,0.16829142,0,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,WTBX01 sp030949405
Aegir_M24_B59,0.12116262,0,0,0.004142579,0,0.014438136,0.007118995,0,0,Bacteria,Calditrichota,Calditrichia,Calditrichales,J004,JABFGF01,
Aegir_M24_B6,0.07045843,0,0,0,0,0,0.029533483,0.004484733,0,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,CAJQQY01,
Aegir_M24_B60,0.077815786,0,0,0,0,0,0.007982337,0.003421961,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NVTR01,
Aegir_M24_B61,0.1718155,0,0,0.14603677,0,0,0.001255649,0.007770884,0,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,,
Aegir_M24_B62,0.44746283,0.037955523,0,0.16886488,0.053739484,0.08090418,0.19007364,0.06346622,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,QPIN01,QPIN01 sp026988195
Aegir_M24_B63,0.19437301,1.3900514,0.001786309,0.003083264,0,0,0,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,UBA6429,UBA6429,JALSSV01,
Aegir_M24_B64,0.08411316,0.000548265,0,0,0.021128567,0.009283436,0.014391905,0.001651484,0,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,JABACD01,
Aegir_M24_B65,0.048357867,0.000700073,0,0,0,0,0.004633483,0,0,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,UBA1924,JAUIES01,
Aegir_M24_B66,0.19631626,0,0,0,0,0,0.03666898,0.0044897,0,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,,,
Aegir_M24_B67,0.03459498,0.000571049,0,0,0,0,0.045778397,0,0.005350724,Bacteria,Myxococcota_A,UBA9160,UBA9160,UBA4427,UBA4427,
Aegir_M24_B68,1.383363,0.42739144,0.003386108,1.066185,0.015754776,0.03198969,0.21963486,0.010231348,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,
Aegir_M24_B69,0.07350744,0.017637901,0,0.009567593,0,0.001541552,0.14873576,0.002429133,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Maricaulaceae,Robiginitomaculum_A,
Aegir_M24_B7,0.6104938,0.001186888,0,0,0.02271851,0,0.04160456,0.003900209,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,
Aegir_M24_B70,0.1535117,0.000891691,0,0,0,0.024691815,0,0.014981136,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,GCA-2733885,
Aegir_M24_B71,0.060296755,0,0,0,0,0,0.001548201,0.012903534,0,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Thalassoglobus,
Aegir_M24_B72,0.101453684,0,0,0,0,0.00328829,0.033475142,0.014081683,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,
Aegir_M24_B73,0.27890205,0.015693624,0,0.003075599,0,0,0.013406204,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,HyVt-477,
Aegir_M24_B74,0.07785313,0.013343964,0,0.691986,0.044588488,0.003150115,0.013334677,0.13658786,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,UBA1140,
Aegir_M24_B75,13.462485,0,0,0,0,0.19314525,0,0.024476865,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,WTBX01,
Aegir_M24_B76,0.23446111,0.011322931,0,0.003599467,0.013395685,0.002972239,0.02650966,0.006639857,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacter,
Aegir_M24_B77,0.09195577,0.001817523,0,0.012253474,0.011800662,0.012067725,0.012023878,0.003629848,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,SZUA-451,
Aegir_M24_B78,0.05297945,0.005151202,0,0,0.04157984,0.008217235,0.052892976,0.01304071,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halieaceae,Halioglobus,
Aegir_M24_B79,0.06447706,0,0,0,0.00332844,0,0,0,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Maricaulaceae,Robiginitomaculum_A,Robiginitomaculum_A sp024278915
Aegir_M24_B8,0.24859188,0.014615006,0,0.2982175,0.07072641,0.003835645,0.006339558,0.21901973,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,UBA1140,
Aegir_M24_B80,0.04976276,0.010618225,0,0.00167181,0,0,0.014936732,0,0.004664296,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Poriferisodaliceae,DRKF01,
Aegir_M24_B81,0.024278404,0.010574882,0,0.15263852,0,0,0.04069174,0,0,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,
Aegir_M24_B82,0.3111201,0.011782153,0,0,0,0.047154456,0.008155501,0.004748197,0.00124885,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,
Aegir_M24_B83,0.027617639,0.003770269,0,0.02166595,0.03154887,0.008959789,0.032700334,0.001830915,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,QNZT01,JANTGR01,
Aegir_M24_B84,0.15132596,0.13230586,0.002199478,1.3558397,0.018085325,0.009490163,0.7511641,0.05022323,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,
Aegir_M24_B85,0.032091305,0.014099578,0,0,0,0,0.019412007,0,0,Bacteria,Chloroflexota,Anaerolineae,Caldilineales,Caldilineaceae,JAJRVT01,
Aegir_M24_B86,0.22393954,0,0,0,0,0,0.055052903,0,0,Bacteria,Planctomycetota,JADGBV01,JADGBV01,JADGBV01,,
Aegir_M24_B87,0.059391852,0.01271372,0,0.103984505,0.09836794,0.012209833,0.5368277,0.00689958,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,
Aegir_M24_B88,0.11304209,0.002825627,0,0.012287482,0.018473426,0.004123735,0.06397281,0.007471022,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,
Aegir_M24_B89,0.02404122,0.011151906,0,0.003666816,0,0.004325509,0.32676983,0.004225443,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Sedimenticolaceae,Thiolapillus,
Aegir_M24_B9,0.050565284,0.000933063,0.27541637,0.07053533,0,0,0,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiomicrospirales,Thiomicrospiraceae,Thiomicrorhabdus,
Aegir_M24_B90,0.16203074,0,0,0,0,0,0,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,UBA6429,UBA6429,SZUA-37,
Aegir_M24_B91,3.6460345,0,0,0,0,0,0,0.003238725,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,BB2,
Aegir_M24_B92,0.06894284,0.000652868,0,0,0,0,0.01926651,0.005925273,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,PHOS-HE28,,
Aegir_M24_B93,0.21370998,0.003064821,0,0,0.028051691,0.018346943,0,0.04233171,0,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,S010-25,
Aegir_M24_B94,0.17593245,0.002165778,0,0,0,0.014756785,0,0.084861636,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae_A,JAHRVQ01,
Aegir_M24_B95,0.18136545,0.03226533,0,0.053016864,0.040001515,0.014225356,0.042785082,0.014985099,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,
Aegir_M24_B96,0.7691904,0.001996806,0,0,0,0,0,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,JAGLBW01,
Aegir_M24_B97,0.12773192,0,0,0,0,0.001658096,0,0.020632891,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA3077,
Aegir_M24_B98,0.05729519,0.004248254,0,0.011308879,0,0,0.02479469,0,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAAEUB01,
Aegir_M24_B99,0.10108335,0.001665346,0,0.001899274,0.018073147,0.019900005,0.012507452,0.004223838,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NVQY01,
Aegir_M25_B1,0.00307167,0.023351688,0,0,0,0,0.00485328,0,0,Bacteria,Pseudomonadota,Alphaproteobacteria,JAGPBS01,,,
Aegir_M25_B10,0.03894362,0.03670205,0.002881368,0,0,0,0.018298486,0.002497167,0,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA3077,
Aegir_M25_B100,0,0.17496705,0.5403787,0.006778315,0,0,0.028944636,0,0.33147368,Bacteria,Aquificota,Aquificae,Hydrogenothermales,Hydrogenothermaceae,QNZC01,
Aegir_M25_B101,0,0.107048124,0,0,0,0,0,0,0,Bacteria,WOR-3,Hydrothermia,B15-G9,WFZT01,WFZT01,
Aegir_M25_B102,0.062693976,0.011879402,0,0,0,0,0.09951189,0,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,JALSJK01,JALSJK01 sp026989395
Aegir_M25_B103,0.007795414,0.13083357,0.014416073,0,0,0,0.016202895,0,0.07221548,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JAAEUB01,
Aegir_M25_B104,0,0.021901542,0.003388122,0,0,0,0.022617185,0,0,Bacteria,WOR-3,Hydrothermia,UBA1063,CAJXJZ01,CAJXJZ01,
Aegir_M25_B105,0,0.15320905,0,0.004902014,0,0,0.023681426,0,0.014675437,Bacteria,Chloroflexota,Anaerolineae,Aggregatilineales,Aggregatilineaceae,JALSSH01,
Aegir_M25_B106,0.15699723,0.14894244,0.003609402,1.427588,0.025359197,0.011802697,0.804674,0.079862244,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,GCA-002733105,
Aegir_M25_B107,0,0.05429618,0,0,0,0,0,0,0,Archaea,Thermoproteota,Korarchaeia,Korarchaeales,Korarchaeaceae,JAOZFG01,JAOZFG01 sp027491435
Aegir_M25_B108,0.006713765,0.60166687,0,0.00119022,0,0,0.0503012,0,0.016304294,Bacteria,Pseudomonadota,Gammaproteobacteria,J113,J113,J113,
Aegir_M25_B109,0,0.27146256,0,0,0,0,0,0,0,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Desulfurococcaceae,JALVIT01,
Aegir_M25_B11,0.04380803,0.010951678,0,0.001484828,0,0,0.013891751,0,0.004360216,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Poriferisodaliceae,DRKF01,
